mass,intensity,assign,C,O,H,N,numbers,O/C,H/C,volume,color
169.02128,641795,False,,,,,1,,,0.5013292985045539,blue
169.04053,616970,False,,,,,1,,,0.48193759268669056,blue
169.05065,1254678,True,8.0,4.0,10.0,0.0,1,0.5,1.25,0.9800743875989943,blue
169.05143,731074,False,,,,,1,,,0.5710683560559341,blue
169.07296,700199,False,,,,,1,,,0.5469507763126701,blue
169.08383,565539,False,,,,,1,,,0.4417629775036684,blue
169.09488,627362,False,,,,,1,,,0.49005515993177556,blue
169.12823,595967,False,,,,,1,,,0.46553138937178296,blue
169.15163,610554,False,,,,,1,,,0.47692582291720775,blue
169.16583,583608,False,,,,,1,,,0.4558773272488032,blue
169.16799,666148,False,,,,,1,,,0.5203523080426172,blue
169.18259,572229,False,,,,,1,,,0.44698877858811975,blue
169.19225,594773,False,,,,,1,,,0.46459871276567904,blue
169.19453,656057,False,,,,,1,,,0.5124698627895232,blue
169.20196,566749,False,,,,,1,,,0.44270815228874855,blue
169.21863,574188,False,,,,,1,,,0.4485190243765264,blue
169.2264,573322,False,,,,,1,,,0.447842560439436,blue
169.23452,589610,False,,,,,1,,,0.46056570663727514,blue
169.24847,629079,False,,,,,1,,,0.49139637076316617,blue
169.25666,580369,False,,,,,1,,,0.4533472271422953,blue
169.27618,700183,False,,,,,1,,,0.5469382781336938,blue
169.29732,596197,False,,,,,1,,,0.46571105069456675,blue
169.39076,591983,False,,,,,1,,,0.4624193428066926,blue
169.39558,570749,False,,,,,1,,,0.44583269703281514,blue
169.40021,629971,False,,,,,1,,,0.492093144241093,blue
169.406,612835,False,,,,,1,,,0.4787075945575117,blue
169.43136,616526,False,,,,,1,,,0.48159076822009916,blue
169.4539,575895,False,,,,,1,,,0.4498524238460568,blue
169.47193,564625,False,,,,,1,,,0.4410490190296492,blue
169.49829,565488,False,,,,,1,,,0.44172313955818154,blue
169.50887,565688,False,,,,,1,,,0.44187936679538486,blue
169.53178,647255,False,,,,,1,,,0.5055943020802047,blue
169.53246,618063,False,,,,,1,,,0.48279137453800675,blue
