Name,m/z,I,I %,Res.,S/N
FA-parent,483.09664000000004,41493973,9.0,422863,49.1
FA-parent,483.10304,7259112,1.6,316852,6.7
FA-parent,483.10645999999997,8218098,1.8,495322,7.9
FA-parent,483.10916,5822969,1.3,658792,4.9
FA-parent,483.11260999999996,21480963,4.6,495112,24.3
FA-parent,483.11438,250029576,54.0,402546,307.6
FA-parent,483.11723,5225488,1.1,514457,4.2
FA-parent,483.1256,6936104,1.5,453431,6.3
FA-parent,483.12794,21628463,4.7,601375,24.5
FA-parent,483.12964000000005,167372340,36.1,402380,205.2
FA-parent,483.1323,7202364,1.6,326116,6.6
FA-parent,483.13932,7829584,1.7,239867,7.4
FA-parent,483.14165999999994,5784151,1.2,621834,4.9
FA-parent,483.14907,17835628,3.8,465884,19.8
FA-parent,483.15078,219522673,47.4,403444,269.8
FA-parent,483.15895,5184136,1.1,444709,4.1
FA-parent,483.16605,43636381,9.4,388489,51.8
FA-parent,483.18541,9152212,2.0,598389,9.1
FA-parent,483.18717999999996,80824025,17.4,408417,97.9
FA-parent,483.20232000000004,5205765,1.1,641370,4.2
FA-parent,483.22179000000006,6141757,1.3,713938,5.3
FA-parent,483.22353,26060609,5.6,422263,30.0
FA-parent,483.45909000000006,6440422,1.4,292923,5.7
FA-parent,483.59587,5221487,1.1,216041,4.2
FA-parent,483.88330999999994,5685162,1.2,360327,4.8
FA-parent,483.99821,5706740,1.2,179768,4.8
FA-parent,484.05249000000003,7011472,1.5,504674,6.4
FA-parent,484.05560999999994,5913754,1.3,545906,5.0
FA-parent,484.06047,11374760,2.5,456291,11.8
FA-parent,484.06388,6169777,1.3,472929,5.4
FA-parent,484.08155999999997,12103908,2.6,493542,12.7
FA-parent,484.08862,18274553,3.9,435113,20.4
FA-parent,484.09199,9918722,2.1,518675,10.0
FA-parent,484.09669,40579344,8.8,419743,48.0
FA-parent,484.0996,6057240,1.3,238206,5.2
FA-parent,484.1098,10852661,2.3,403986,11.2
FA-parent,484.11267000000004,5505342,1.2,612774,4.5
FA-parent,484.1179,53129549,11.5,425941,63.6
FA-parent,484.125,25829729,5.6,423554,29.7
FA-parent,484.13305999999994,41529720,9.0,391841,49.2
FA-parent,484.13627,5687681,1.2,488289,4.8
FA-parent,484.14605,11498910,2.5,392023,12.0
FA-parent,484.15422,44065205,9.5,413668,52.3
FA-parent,484.16132000000005,7327690,1.6,344164,6.8
FA-parent,484.16957,11071969,2.4,411468,11.4
FA-parent,484.19057000000004,19157534,4.1,417434,21.1
FA-parent,484.21300999999994,5152095,1.1,367755,4.0
FA-parent,484.22683,5464710,1.2,523758,4.4
FA-parent,484.22925999999995,5301901,1.1,412150,4.2
FA-parent,484.80737,5417231,1.2,425982,4.3
FA-parent,484.87772,5440986,1.2,413098,4.4
FA-parent,485.03615999999994,12557220,2.7,513799,13.0
FA-parent,485.03947,16346029,3.5,403490,17.6
FA-parent,485.04950999999994,5435338,1.2,635775,4.4
FA-parent,485.05725,6184929,1.3,619762,5.3
FA-parent,485.07069,8721415,1.9,502657,8.4
FA-parent,485.07253,108690445,23.5,399581,130.0
FA-parent,485.07592999999997,53541911,11.6,404681,62.9
FA-parent,485.08213,5390888,1.2,301208,4.3
FA-parent,485.08564,14713907,3.2,464323,15.6
FA-parent,485.08795,7962681,1.7,529111,7.4
FA-parent,485.09137999999996,8252483,1.8,405642,7.8
FA-parent,485.09364000000005,83156042,17.9,395716,98.9
FA-parent,485.09767,8627797,1.9,342531,8.2
FA-parent,485.10708,26541168,5.7,595650,30.0
FA-parent,485.1089,263601270,56.9,397683,318.4
FA-parent,485.11225,31476863,6.8,385023,36.0
FA-parent,485.11989000000005,7386261,1.6,450795,6.7
FA-parent,485.1242,6446242,1.4,467057,5.6
FA-parent,485.12834000000004,13882542,3.0,490594,14.6
FA-parent,485.13005,192855219,41.6,401886,232.3
FA-parent,485.13628,5343429,1.2,433620,4.2
FA-parent,485.14355,12506330,2.7,446784,13.0
FA-parent,485.1453,141835487,30.6,406853,170.3
FA-parent,485.14849000000004,8722664,1.9,498052,8.4
FA-parent,485.15734000000003,7396609,1.6,271132,6.7
FA-parent,485.16481,10194199,2.2,512471,10.1
FA-parent,485.16643,114048284,24.6,391061,136.5
FA-parent,485.18010999999996,6936899,1.5,516985,6.2
FA-parent,485.18170999999995,29838664,6.4,398404,34.0
FA-parent,485.18465999999995,5331280,1.2,610100,4.2
FA-parent,485.20287,29613445,6.4,414543,33.8
FA-parent,485.21848,6260146,1.4,468414,5.4
FA-parent,485.23914,9991662,2.2,521427,9.9
FA-parent,485.48526,5269173,1.1,437331,4.2
FA-parent,485.95412000000005,6359553,1.4,246544,5.5
FA-parent,486.03417,5227753,1.1,544021,4.1
FA-parent,486.04275,6900482,1.5,492305,6.1
FA-parent,486.05029,7430936,1.6,397560,6.8
FA-parent,486.06771,13633354,2.9,441476,14.3
FA-parent,486.07114,5745492,1.2,506379,4.7
FA-parent,486.0743,5410653,1.2,813335,4.3
FA-parent,486.07594000000006,28325730,6.1,402207,32.2
FA-parent,486.07934000000006,10313580,2.2,290615,10.3
FA-parent,486.09698,18110367,3.9,423506,19.8
FA-parent,486.1026,6207407,1.3,795447,5.3
FA-parent,486.10413,30853044,6.7,381507,35.3
FA-parent,486.1076,7224254,1.6,518257,6.5
FA-parent,486.11225,66635723,14.4,411401,78.8
FA-parent,486.11509,11595732,2.5,557333,11.9
FA-parent,486.12505999999996,6757360,1.5,439837,6.0
FA-parent,486.1314,5580803,1.2,783245,4.5
FA-parent,486.13336,45983752,9.9,434724,53.7
FA-parent,486.14055999999994,24410141,5.3,431758,27.4
FA-parent,486.1486,36194356,7.8,419654,41.8
FA-parent,486.15717,5807181,1.3,413505,4.8
FA-parent,486.16974000000005,29317234,6.3,424341,33.4
FA-parent,486.17682,6847110,1.5,324235,6.1
FA-parent,486.18493,10163358,2.2,428201,10.1
FA-parent,486.20612,11122907,2.4,472288,11.3
FA-parent,486.33592000000004,5552723,1.2,294277,4.5
FA-parent,486.40792000000005,5504804,1.2,377369,4.4
FA-parent,486.41412,5540662,1.2,488625,4.5
FA-parent,486.5433,5324461,1.1,198859,4.2
FA-parent,486.61215999999996,6119796,1.3,429587,5.2
FA-parent,486.82237000000003,5415894,1.2,437389,4.3
FA-parent,486.92222000000004,5221625,1.1,566954,4.1
FA-parent,486.96720999999997,5763451,1.2,429042,4.8
FA-parent,487.0519,25399921,5.5,417693,28.6
FA-parent,487.05532999999997,24269435,5.2,436528,27.3
FA-parent,487.06407,5291668,1.1,259880,4.2
FA-parent,487.06717000000003,10358430,2.2,390976,10.3
FA-parent,487.07052000000004,7523240,1.6,276901,6.9
FA-parent,487.07297,8013486,1.7,394793,7.5
