mass,intensity,assign,C,C_13,H,O,N,calc_mass,abs_error,rel_error,DBE,DBE-O,DBE_AI,CAI,AI,DBE-OC,H/C,O/C,class,CRAM,NOSC,brutto,Ke,KMD
324.00774,1618033,True,12.0,1.0,8.0,10.0,0.0,325.015105,-8.857999999301036e-05,-0.2733885307585873,10.0,0.0,0.0,3.0,0.0,0.0,0.6153846153846154,0.7692307692307693,unsat_highOC,False,0.9230769230769229,C12(C_13)H8O10,324.65219023020694,0.34780976979305933
324.03612,2527609,True,13.0,0.0,11.0,9.0,1.0,325.043384,1.2419999979362828e-05,0.038329060289213526,9.0,0.0,-1.0,3.0,-0.3333333333333333,0.0,0.8461538461538461,0.6923076923076923,unsat_highOC,False,0.7692307692307692,C13H11O9N,324.6804376536229,0.31956234637709713
324.04422,4049787,True,13.0,1.0,12.0,9.0,0.0,325.05149,6.419999994511372e-06,0.019812110811639756,9.0,0.0,0.0,5.0,0.0,0.0,0.8571428571428571,0.6428571428571429,unsat_highOC,True,0.4285714285714284,C13(C_13)H12O9,324.6885346023909,0.31146539760908354
324.0513,1143677,True,17.0,0.0,11.0,6.0,1.0,325.058639,-6.258000000181063e-05,-0.1931175712049624,13.0,7.0,6.0,10.0,0.6,0.4117647058823529,0.6470588235294118,0.35294117647058826,aromatic_lowOC,False,0.23529411764705888,C17H11O6N,324.6956756197537,0.304324380246328
324.07249,5302659,True,14.0,0.0,15.0,8.0,1.0,325.079769,-2.5799999827658127e-06,-0.007961181718219317,8.0,0.0,-1.0,5.0,-0.2,0.0,1.0714285714285714,0.5714285714285714,unsat_highOC,True,0.2857142857142856,C14H15O8N,324.7167820258069,0.28321797419312134
324.08059,8703365,True,14.0,1.0,16.0,8.0,0.0,325.087875,-8.580000024460688e-06,-0.026474896335077297,8.0,0.0,0.0,7.0,0.0,0.0,1.0666666666666667,0.5333333333333333,unsat_highOC,True,0.0,C14(C_13)H16O8,324.7248789745748,0.27512102542522143
324.10889,6919565,True,15.0,0.0,19.0,7.0,1.0,325.116154,1.2419999979362828e-05,0.038320454521820826,7.0,0.0,-1.0,7.0,-0.14285714285714285,0.0,1.2666666666666666,0.4666666666666667,unsat_lowOC,True,-0.13333333333333375,C15H19O7N,324.7531263979908,0.2468736020092024
324.11699,22384016,True,15.0,1.0,20.0,7.0,0.0,325.12426,6.419999994511372e-06,0.019807662642156994,7.0,0.0,0.0,9.0,0.0,0.0,1.25,0.4375,unsat_lowOC,True,-0.375,C15(C_13)H20O7,324.76122334675875,0.23877665324124564
324.14526,2735511,True,16.0,0.0,23.0,6.0,1.0,325.152539,-2.5799999827658127e-06,-0.007959394447926873,6.0,0.0,-1.0,9.0,-0.1111111111111111,0.0,1.4375,0.375,unsat_lowOC,True,-0.5,C16H23O6N,324.7894707701747,0.21052922982528344
324.15337,15414681,True,16.0,1.0,24.0,6.0,0.0,325.160645,1.4200000071351582e-06,0.004380642432115262,6.0,0.0,0.0,11.0,0.0,0.0,1.411764705882353,0.35294117647058826,unsat_lowOC,True,-0.7058823529411766,C16(C_13)H24O6,324.79756771894273,0.20243228105726985
324.18971,1998500,True,17.0,1.0,28.0,5.0,0.0,325.19703,-4.35799999929376e-05,-0.1344274622193826,5.0,0.0,0.0,13.0,0.0,0.0,1.5555555555555556,0.2777777777777778,lipids,False,-1.0,C17(C_13)H28O5,324.8339120911267,0.16608790887329405
