,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
1597,1597,498.022226037,0.0072335524630319,-0.1714240760153436,21.0,O11,H10_C26_O11,0,26,10,11,0,0,True
1598,1598,498.057026037,0.0047104256203679,0.2395308043347691,25.0,N1O7,H11_C29_13C_N_O7,0,30,11,7,1,0,True
1599,1599,498.058706037,0.0162853275773497,0.0183090865772001,20.0,O10,H14_C27_O10,0,27,14,10,0,0,True
1600,1600,498.094906037,0.0114384483091587,-0.3541272915089452,19.0,O9,H18_C28_O9,0,28,18,9,0,0,True
1601,1601,498.167866037,0.0070763654653056,0.0252826424634682,17.0,O7,H26_C30_O7,0,30,26,7,0,0,True
1602,1602,498.188836037,0.0051575780806362,-0.294733621890727,12.0,O9,H30_C27_O9,0,27,30,9,0,0,True
1603,1603,498.225276037,0.006425269323006,-0.1853398541007826,11.0,O8,H34_C28_O8,0,28,34,8,0,0,True
1604,1604,498.261586037,0.0055058370978458,-0.336869236440382,10.0,O7,H38_C29_O7,0,29,38,7,0,0,True
1605,1605,498.298186037,0.0086883834202892,0.0936045952519527,9.0,O6,H42_C30_O6,0,30,42,6,0,0,True
1606,1606,499.053916037,0.0084530416861073,-0.0598211917209432,20.0,N1O10,H13_C26_N_O10,0,26,13,10,1,0,True
1607,1607,499.069436037,0.0059059275419228,0.4690048781133449,24.0,N1O7,H13_C30_N_O7,0,30,13,7,1,0,True
1608,1608,499.090316037,0.0072324187905738,-0.0307800001433953,19.0,N1O9,H17_C27_N_O9,0,27,17,9,1,0,True
1609,1609,500.036306037,0.0062376241304504,0.2694484348462044,25.0,N1O8,H9_C28_13C_N_O8,0,29,9,8,1,0,True
1610,1610,500.037926037,0.0128538500604086,-0.0708886229831637,20.0,O11,H12_C26_O11,0,26,12,11,0,0,True
1611,1611,500.053176037,0.0045731416840823,-0.0830451678756552,24.0,O8,H12_C30_O8,0,30,12,8,0,0,True
1612,1612,500.074246037,0.0116322293578018,-0.2018800222901418,19.0,O10,H16_C27_O10,0,27,16,10,0,0,True
1613,1613,500.085386037,0.0047407771681748,-0.3886036373575257,19.0,N2O9,H16_C26_N2_O9,0,26,16,9,2,0,True
1614,1614,500.089646037,0.0059116426535929,0.0859145962622508,23.0,O7,H16_C31_O7,0,31,16,7,0,0,True
1615,1615,500.110746037,0.010091467196957,0.0270680045965826,18.0,O9,H20_C28_O9,0,28,20,9,0,0,True
1616,1616,500.147296037,0.0052106805062647,0.3559531391059328,17.0,O8,H24_C29_O8,0,29,24,8,0,0,True
1617,1617,500.183456037,0.0051379725595185,-0.0949231715192084,16.0,O7,H28_C30_O7,0,30,28,7,0,0,True
1618,1618,500.313766037,0.0072536357043736,-0.046832611010981,8.0,O6,H44_C30_O6,0,30,44,6,0,0,True
1619,1619,501.033076037,0.0088572485104627,-0.2682856809735548,20.0,N1O11,H11_C25_N_O11,0,25,11,11,1,0,True
1620,1620,501.041306037,0.0053297492285064,-0.0205312412936149,20.0,O11,H12_C25_13C_O11,0,26,12,11,0,0,True
1621,1621,501.069386037,0.0065375783771247,-0.4189599400740703,19.0,N1O10,H15_C26_N_O10,0,26,15,10,1,0,True
1622,1622,501.084926037,0.006066884682334,0.1476635918718386,23.0,N1O7,H15_C30_N_O7,0,30,15,7,1,0,True
1623,1623,501.105886037,0.0061317664907324,-0.1904507661621717,18.0,N1O9,H19_C27_N_O9,0,27,19,9,1,0,True
1624,1624,502.053706037,0.0133638614444572,0.1881850465483356,19.0,O11,H14_C26_O11,0,26,14,11,0,0,True
1625,1625,502.068816037,0.0104736677247573,-0.1027767476237133,23.0,O8,H14_C30_O8,0,30,14,8,0,0,True
1626,1626,502.090196037,0.0114690501609361,0.3962853717225891,18.0,O10,H18_C27_O10,0,27,18,10,0,0,True
1627,1627,502.105406037,0.0062132136496489,0.3044998085844148,22.0,O7,H18_C31_O7,0,31,18,7,0,0,True
1628,1628,502.126256037,0.0096939163155384,-0.2520023568776003,17.0,O9,H22_C28_O9,0,28,22,9,0,0,True
1629,1629,502.198996037,0.0049997239303036,-0.3137262345235448,15.0,O7,H30_C30_O7,0,30,30,7,0,0,True
1630,1630,502.329456037,0.0050848428634185,0.0328370152555886,7.0,O6,H46_C30_O6,0,30,46,6,0,0,True
1631,1631,503.064156037,0.0059983447349729,0.0783717136822424,23.0,N1O8,H13_C29_N_O8,0,29,13,8,1,0,True
