peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
1537,364.152186037,0.13544280845858092,-0.047592739094946816,7.0,O7,H24_C19_O7,0,19,24,7,0,0
1543,364.246126037,0.019424759213950055,0.06101643482407165,0.0,O7,H36_C18_O7,0,18,36,7,0,0
1551,365.155596037,0.028942337566507437,0.10359693352013448,7.0,O7,H24_C18_13C_O7,0,19,24,7,0,0
1559,366.073966037,0.03225233261485883,0.03561848483966488,13.0,O7,H14_C20_O7,0,20,14,7,0,0
1569,366.167916037,0.12140885325643715,0.17094616221942005,6.0,O7,H26_C19_O7,0,19,26,7,0,0
1580,367.171296037,0.031188608052739913,0.23900288755831234,6.0,O7,H26_C18_13C_O7,0,19,26,7,0,0
1589,368.089566037,0.035797282176006834,-0.10061409887252709,12.0,O7,H16_C20_O7,0,20,16,7,0,0
1597,368.183516037,0.09559343324012583,0.03400749757986432,5.0,O7,H28_C19_O7,0,19,28,7,0,0
1608,369.186846037,0.021181168443434695,-0.03336792760129162,5.0,O7,H28_C18_13C_O7,0,19,28,7,0,0
1617,370.105306037,0.04908549239776302,0.1429079754680345,11.0,O7,H18_C20_O7,0,20,18,7,0,0
1626,370.199156037,0.06813753689463668,0.006609955756757597,4.0,O7,H30_C19_O7,0,19,30,7,0,0
1635,371.108636037,0.016159875140782168,0.07558703110439674,11.0,O7,H18_C19_13C_O7,0,20,18,7,0,0
1640,371.202426037,0.015281042467668647,-0.22196245007494822,4.0,O7,H30_C18_13C_O7,0,19,30,7,0,0
1654,372.120946037,0.07771562730591479,0.1150620529796435,10.0,O7,H20_C20_O7,0,20,20,7,0,0
1661,372.214836037,0.06026760747990213,0.08697396470045064,3.0,O7,H32_C19_O7,0,19,32,7,0,0
1668,373.124276037,0.020456619674550466,0.04817965804368001,10.0,O7,H20_C19_13C_O7,0,20,20,7,0,0
1676,374.042606037,0.022241057905161364,-0.12515419160156532,16.0,O7,H10_C21_O7,0,21,10,7,0,0
1685,374.136606037,0.08453516398695095,0.140972572900425,9.0,O7,H22_C20_O7,0,20,22,7,0,0
1691,374.230536037,0.04771241722979533,0.21991524490815456,2.0,O7,H34_C19_O7,0,19,34,7,0,0
1700,375.139766037,0.018865714445221175,-0.37878415685181627,9.0,O7,H22_C19_13C_O7,0,20,22,7,0,0
1705,376.058316037,0.02595364140354965,0.03486959193164849,15.0,O7,H12_C21_O7,0,21,12,7,0,0
1712,376.152276037,0.08862057749815527,0.19319037700594427,8.0,O7,H24_C20_O7,0,20,24,7,0,0
1717,376.246166037,0.03172092848265952,0.16538374510860673,1.0,O7,H36_C19_O7,0,19,36,7,0,0
1725,377.155486037,0.02411309055691483,-0.1913560923047622,8.0,O7,H24_C19_13C_O7,0,20,24,7,0,0
1733,378.073916037,0.017973301147617384,-0.09776130648046856,14.0,O7,H14_C21_O7,0,21,14,7,0,0
1739,378.167816037,0.10843936900462153,-0.09891111394838219,7.0,O7,H26_C20_O7,0,20,26,7,0,0
1751,379.171226037,0.024836747300866054,0.04682581052666989,7.0,O7,H26_C19_13C_O7,0,20,26,7,0,0
1767,380.183556037,0.10298023709658627,0.13814642745400418,6.0,O7,H28_C20_O7,0,20,28,7,0,0
1776,381.186836037,0.025746770505650704,-0.05855133984569514,6.0,O7,H28_C19_13C_O7,0,20,28,7,0,0
1786,382.105176037,0.024247112751951534,-0.2018004592789145,12.0,O7,H18_C21_O7,0,21,18,7,0,0
1793,382.199196037,0.08998989038409258,0.1110598882430341,5.0,O7,H30_C20_O7,0,20,30,7,0,0
1804,383.202526037,0.028595455163307314,0.04594698317896953,5.0,O7,H30_C19_13C_O7,0,20,30,7,0,0
1815,384.120956037,0.043363583294496875,0.13750095940459245,11.0,O7,H20_C21_O7,0,21,20,7,0,0
1822,384.214776037,0.0635775964600567,-0.07190509509691079,4.0,O7,H32_C20_O7,0,20,32,7,0,0
1834,385.218216037,0.01738838158763447,0.1493517118928327,4.0,O7,H32_C19_13C_O7,0,20,32,7,0,0
1847,386.136646037,0.048051471659093556,0.2401818137019774,10.0,O7,H22_C21_O7,0,21,22,7,0,0
1854,386.230436037,0.05621685550895181,-0.04583015303463918,3.0,O7,H34_C20_O7,0,20,34,7,0,0
1872,388.058226037,0.014036018389063654,-0.19813263788435068,16.0,O7,H12_C22_O7,0,22,12,7,0,0
1883,388.152226037,0.05556658146918327,0.058402344521456345,9.0,O7,H24_C21_O7,0,21,24,7,0,0
1888,388.246086037,0.055045026020427976,-0.04578281827610074,2.0,O7,H36_C20_O7,0,20,36,7,0,0
1904,390.073896037,0.0167229127830207,-0.1460261775089646,15.0,O7,H14_C22_O7,0,22,14,7,0,0
1912,390.167826037,0.07608096430929356,-0.07023900521796297,8.0,O7,H26_C21_O7,0,21,26,7,0,0
1917,390.261726037,0.020883887481067225,-0.07135980326387342,1.0,O7,H38_C20_O7,0,20,38,7,0,0
1932,392.089686037,0.019798098955299236,0.2115969966683205,14.0,O7,H16_C22_O7,0,22,16,7,0,0
1938,392.183556037,0.07820232096392093,0.1339194344964217,7.0,O7,H28_C21_O7,0,21,28,7,0,0
