peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
3278,401.132226037,0.0043375175042591595,0.07422988752009112,6.0,N1O10,H23_C17_N_O10,0,17,23,10,1,0
3294,402.041686037,0.0018148820326678767,0.08800082482603899,13.0,N1O10,H11_C17_13C_N_O10,0,18,11,10,1,0
3313,402.135536037,8.745810352410659E-4,-0.037460006931687835,6.0,N1O10,H23_C16_13C_N_O10,0,17,23,10,1,0
3328,403.053946037,0.014903265271044292,3.622343663902733E-4,12.0,N1O10,H13_C18_N_O10,0,18,13,10,1,0
3343,403.147876037,0.003007952115424475,0.07367519903157342,5.0,N1O10,H25_C17_N_O10,0,17,25,10,1,0
3395,405.069596037,0.019068899797279194,1.7774731819773383E-4,11.0,N1O10,H15_C18_N_O10,0,18,15,10,1,0
3408,405.163526037,0.002532746235004474,0.07312602958798464,4.0,N1O10,H27_C17_N_O10,0,17,27,10,1,0
3428,406.072956037,0.0034781026141378806,0.012884384198374314,11.0,N1O10,H15_C17_13C_N_O10,0,18,15,10,1,0
3463,407.085246037,0.02062090198120409,-4.913063571052994E-6,10.0,N1O10,H17_C18_N_O10,0,18,17,10,1,0
3494,408.088596037,0.0036247086836291575,-0.011865070616654438,10.0,N1O10,H17_C17_13C_N_O10,0,18,17,10,1,0
3511,409.007036037,8.139164547619168E-4,0.09869756857348971,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
3523,409.100896037,0.020737175760455796,-1.85773223216162E-4,9.0,N1O10,H19_C18_N_O10,0,18,19,10,1,0
3532,409.194816037,0.0016025560009908547,0.04760568616290481,2.0,N1O10,H31_C17_N_O10,0,17,31,10,1,0
3550,410.10425603699997,0.0035539333397368172,0.012396847574376691,9.0,N1O10,H19_C17_13C_N_O10,0,18,19,10,1,0
3567,411.022646037,0.003432604178778519,7.152890967320959E-4,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
3580,411.116556037,0.01219863605801556,0.023959142198602505,8.0,N1O10,H21_C18_N_O10,0,18,21,10,1,0
3590,411.210486037,0.002901789099585964,0.0958292684155014,1.0,N1O10,H33_C17_N_O10,0,17,33,10,1,0
3607,412.119896037,0.0023406417301538355,-0.012108126851986253,8.0,N1O10,H21_C17_13C_N_O10,0,18,21,10,1,0
3624,413.038296037,0.008326213670763211,5.326382713246505E-4,14.0,N1O10,H11_C19_N_O10,0,19,11,10,1,0
3636,413.13219603699997,0.007087645152647251,-5.42199375121521E-4,7.0,N1O10,H23_C18_N_O10,0,18,23,10,1,0
