mass,I
261.113225,1
262.011896,1
262.030087,1
262.043813,1
262.048287,1
262.048293,1
262.06354,1
262.080199,1
262.116586,1
263.019715,1
263.019725,1
263.03498,1
263.037926,1
263.056105,1
263.05611,1
263.092494,1
263.107753,1
263.128881,1
263.128888,1
263.165262,1
263.165267,1
264.027547,1
264.045743,1
264.059464,1
264.063924,1
264.074721,1
264.095845,1
264.13224,1
264.998985,1
264.998988,1
265.035392,1
265.050631,1
265.071758,1
265.087017,1
265.10816,1
265.144532,1
265.144538,1
265.147908,1
266.00681,1
266.02207,1
266.038729,1
266.043195,1
266.053988,1
266.067009,1
266.067015,1
266.075114,1
266.111513,1
266.14788,1
267.014639,1
267.022272,1
267.029894,1
267.040451,1
267.051042,1
267.066274,1
267.087422,1
267.087425,1
267.102664,1
267.123797,1
267.123812,1
267.139053,1
267.160195,1
268.011897,1
268.017984,1
268.022461,1
268.030084,1
268.030087,1
268.037714,1
268.054369,1
268.058842,1
268.074107,1
268.090768,1
268.993887,1
269.030284,1
269.030292,1
269.03793,1
269.045558,1
269.066683,1
269.081927,1
269.103076,1
269.10308,1
269.1547,1
270.016986,1
270.033634,1
270.0489,1
270.077172,1
270.106417,1
270.14281,1
271.00954,1
271.017183,1
271.024811,1
271.024817,1
271.045928,1
271.045931,1
271.053582,1
271.061193,1
271.082319,1
271.082323,1
271.097577,1
271.097582,1
271.118704,1
271.118718,1
271.133966,1
271.155088,1
271.155092,1
272.025004,1
272.032636,1
272.049295,1
272.056441,1
272.064549,1
272.085694,1
272.122062,1
273.004075,1
273.00408,1
273.02226,1
273.025213,1
273.040456,1
273.040465,1
273.051028,1
273.055719,1
273.061598,1
273.061602,1
273.076837,1
273.076841,1
273.092104,1
273.097988,1
273.113225,1
273.11323,1
273.149616,1
274.011897,1
274.030092,1
274.035707,1
274.048282,1
274.048288,1
274.058845,1
274.063536,1
274.08019,1
274.08466,1
274.983333,1
275.019714,1
275.019721,1
275.034969,1
275.037917,1
275.040851,1
275.040858,1
275.056112,1
275.056118,1
275.071364,1
275.077263,1
275.092481,1
275.092494,1
275.107752,1
275.128875,1
275.128882,1
275.165268,1
276.027548,1
276.042806,1
276.045743,1
276.051355,1
276.059458,1
276.059462,1
276.063921,1
276.079185,1
276.095846,1
276.132234,1
276.99899,1
276.998998,1
277.035383,1
277.050629,1
277.07176,1
277.071765,1
277.087015,1
277.108153,1
277.144534,1
277.14454,1
277.180905,1
277.18091,1
278.006802,1
278.022072,1
278.02501,1
278.043194,1
278.058456,1
278.067011,1
278.07513,1
278.079581,1
278.103382,1
278.1115,1
279.014633,1
279.01464,1
279.051019,1
279.051022,1
279.066279,1
279.087408,1
279.087412,1
279.102667,1
279.123784,1
279.123794,1
279.160175,1
280.022464,1
280.037713,1
280.046264,1
280.04627,1
280.054371,1
280.05885,1
280.069635,1
280.082662,1
280.090767,1
280.090773,1
280.095228,1
280.127145,1
280.993902,1
280.993907,1
281.009156,1
281.019714,1
281.030285,1
281.030292,1
281.037932,1
281.045545,1
281.04555,1
281.066659,1
281.066676,1
281.081927,1
281.103037,1
281.103055,1
281.118316,1
281.11832,1
281.139447,1
281.139453,1
281.154708,1
281.248601,1
282.016992,1
282.03366,1
282.038117,1
282.045737,1
282.045744,1
282.048894,1
282.053367,1
282.061931,1
282.061946,1
282.070024,1
282.085292,1
282.098311,1
282.10642,1
282.106425,1
282.121666,1
282.142799,1
283.009557,1
283.009566,1
283.017185,1
283.024812,1
283.024817,1
283.045928,1
283.045933,1
283.053561,1
283.053566,1
283.061194,1
283.0612,1
283.076453,1
283.082324,1
283.097578,1
283.118711,1
283.118716,1
283.133966,1
283.155091,1
283.155102,1
283.170351,1
283.264244,1
283.264249,1
283.264254,1
284.025003,1
284.032631,1
284.041197,1
284.043198,1
284.049289,1
284.049295,1
284.064552,1
284.069019,1
284.077561,1
284.077578,1
284.085679,1
284.085684,1
284.122065,1
284.158467,1
285.004067,1
285.004071,1
285.014637,1
285.014643,1
285.025199,1
285.025203,1
285.032832,1
285.032837,1
285.040459,1
285.040464,1
285.061595,1
285.069188,1
285.076847,1
285.076852,1
285.092095,1
285.097986,1
285.113214,1
285.113227,1
285.134363,1
285.186007,1
286.011899,1
286.022457,1
286.043811,1
286.063546,1
286.064966,1
286.077048,1
286.08019,1
286.080195,1
286.084673,1
286.101309,1
286.101327,1
286.13771,1
286.137715,1
287.019717,1
287.019725,1
287.03029,1
287.034989,1
287.040856,1
287.040872,1
287.056102,1
287.071368,1
287.077245,1
287.092489,1
287.092494,1
287.107746,1
287.113638,1
287.128895,1
287.149998,1
287.150004,1
287.165263,1
288.027545,1
288.027553,1
288.051357,1
288.059472,1
288.063935,1
288.08061,1
288.087731,1
