,element,mass,abundance,isotop,element_isotop
217,S,32.971458,0.76,32,S_32
218,S,33.967867,4.29,33,S_33
219,S,35.967081,0.02,35,S_35
220,Ta,179.947466,0.012,179,Ta_179
221,Ta,180.947996,99.988,180,Ta_180
222,Te,119.90402,0.09,119,Te_119
223,Te,121.903047,2.55,121,Te_121
224,Te,122.904273,0.89,122,Te_122
225,Te,123.902819,4.74,123,Te_123
226,Te,124.904425,7.07,124,Te_124
227,Te,125.903306,18.84,125,Te_125
228,Te,127.904461,31.74,127,Te_127
229,Te,129.906223,34.08,129,Te_129
230,Tb,158.925343,100.0,158,Tb_158
231,Tl,202.972329,29.524,202,Tl_202
232,Tl,204.974412,70.476,204,Tl_204
233,Th,232.03805,100.0,232,Th_232
234,Tm,168.934211,100.0,168,Tm_168
235,Sn,111.904821,0.97,111,Sn_111
236,Sn,113.902782,0.66,113,Sn_113
237,Sn,114.903346,0.34,114,Sn_114
238,Sn,115.901744,14.54,115,Sn_115
239,Sn,116.902954,7.68,116,Sn_116
240,Sn,117.901606,24.22,117,Sn_117
241,Sn,118.903309,8.59,118,Sn_118
242,Sn,119.902197,32.58,119,Sn_119
243,Sn,121.90344,4.63,121,Sn_121
244,Sn,123.905275,5.79,123,Sn_123
245,Ti,45.952629,8.25,45,Ti_45
246,Ti,46.951764,7.44,46,Ti_46
247,Ti,47.947871,73.72,47,Ti_47
248,W,179.946706,0.12,179,W_179
249,W,181.948206,26.5,181,W_181
250,W,182.950224,14.31,182,W_182
251,W,183.950933,30.64,183,W_183
252,W,185.954362,28.43,185,W_185
253,U,234.040946,0.0055,234,U_234
254,U,235.043923,0.72,235,U_235
255,U,238.050783,99.2745,238,U_238
256,V,49.947163,0.25,49,V_49
257,V,50.943964,99.75,50,V_50
258,Xe,123.905896,0.09,123,Xe_123
259,Xe,125.904269,0.09,125,Xe_125
260,Xe,127.90353,1.92,127,Xe_127
261,Xe,128.904779,26.44,128,Xe_128
262,Xe,129.903508,10.44,129,Xe_129
263,Xe,130.905082,21.18,130,Xe_130
264,Xe,131.904154,26.89,131,Xe_131
265,Xe,133.905395,10.44,133,Xe_133
266,Xe,135.90722,8.87,135,Xe_135
267,Yb,167.933894,0.13,167,Yb_167
268,Yb,169.934759,3.04,169,Yb_169
269,Yb,170.936322,14.28,170,Yb_170
270,Yb,171.936378,21.83,171,Yb_171
271,Yb,172.938207,16.13,172,Yb_172
272,Yb,173.938858,31.83,173,Yb_173
273,Yb,175.942568,12.76,175,Yb_175
274,Y,88.905848,100.0,88,Y_88
275,Zn,63.929147,48.63,63,Zn_63
276,Zn,65.926037,27.9,65,Zn_65
277,Zn,66.927131,4.1,66,Zn_66
278,Zn,67.924848,18.75,67,Zn_67
279,Zn,69.925325,0.62,69,Zn_69
280,Zr,89.904704,51.45,89,Zr_89
281,Zr,90.905645,11.22,90,Zr_90
282,Zr,91.90504,17.15,91,Zr_91
283,Zr,93.906316,17.38,93,Zr_93
284,Zr,95.908276,2.8,95,Zr_95
