peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1943,635.033826037,0.019374396355817523,0.3489357432325872,26.0,N1O14,H13_C32_N_O14,0,32,13,14,1,0
1944,637.012996037,0.017220552912584567,0.19939938561144244,26.0,N1O15,H11_C31_N_O15,0,31,11,15,1,0
1948,653.007646037,0.01769196605275767,-0.2107479152310864,26.0,N1O16,H11_C31_N_O16,0,31,11,16,1,0
29,221.047676037,0.012941139511783445,-0.011364064322808693,11.0,N1O2,H7_C14_N_O2,0,14,7,2,1,0
54,235.063346037,0.015772588093820768,0.07408215818338251,11.0,N1O2,H9_C15_N_O2,0,15,9,2,1,0
77,245.047666037,0.01261868990983955,-0.05105945391937249,13.0,N1O2,H7_C16_N_O2,0,16,7,2,1,0
108,257.047786037,0.011190371922384267,0.41816349257996793,14.0,N1O2,H7_C17_N_O2,0,17,7,2,1,0
142,269.047806037,0.01692575071284865,0.4738488741216351,15.0,N1O2,H7_C18_N_O2,0,18,7,2,1,0
152,271.063366037,0.01901567269730937,0.1380267666160679,14.0,N1O2,H9_C18_N_O2,0,18,9,2,1,0
161,273.078976037,0.014669129852590035,-0.009740771865814223,13.0,N1O2,H11_C18_N_O2,0,18,11,2,1,0
186,281.047656037,0.015656529950724463,-0.08010029439226028,16.0,N1O2,H7_C19_N_O2,0,19,7,2,1,0
194,283.063306037,0.01364466893814916,-0.0797913382566596,15.0,N1O2,H9_C19_N_O2,0,19,9,2,1,0
204,285.078866037,0.014929275839738592,-0.39518888783147593,14.0,N1O2,H11_C19_N_O2,0,19,11,2,1,0
238,293.047626037,0.018061665563725543,-0.1791927157986565,17.0,N1O2,H7_C20_N_O2,0,20,7,2,1,0
248,295.063396037,0.026917516330251155,0.22847293484173417,16.0,N1O2,H9_C20_N_O2,0,20,9,2,1,0
258,297.079046037,0.016717497625315315,0.2266736780733003,15.0,N1O2,H11_C20_N_O2,0,20,11,2,1,0
270,299.094646037,0.013449231169515033,0.05772754635300623,14.0,N1O2,H13_C20_N_O2,0,20,13,2,1,0
297,305.047656037,0.012940823699774255,-0.07379830490238042,18.0,N1O2,H7_C21_N_O2,0,21,7,2,1,0
305,307.063306037,0.016396106270630283,-0.07355486474336882,17.0,N1O2,H9_C21_N_O2,0,21,9,2,1,0
316,309.078996037,0.015135351486576992,0.056102162484665714,16.0,N1O2,H11_C21_N_O2,0,21,11,2,1,0
326,311.094476037,0.015171093649231037,-0.49095696564003377,15.0,N1O2,H13_C21_N_O2,0,21,13,2,1,0
363,317.047776037,0.011749525395496365,0.30748678091939746,19.0,N1O2,H7_C22_N_O2,0,22,7,2,1,0
374,319.063236037,0.014117406272536234,-0.2901807211855137,18.0,N1O2,H9_C22_N_O2,0,22,9,2,1,0
384,321.078926037,0.019705095853931296,-0.16400951829615623,17.0,N1O2,H11_C22_N_O2,0,22,11,2,1,0
440,331.063316037,0.02019554082307923,-0.03801689694621482,19.0,N1O2,H9_C23_N_O2,0,23,9,2,1,0
452,333.079016037,0.01698676337679941,0.11210553114406366,18.0,N1O2,H11_C23_N_O2,0,23,11,2,1,0
512,343.063326037,0.02249972186380945,-0.00753796672680783,20.0,N1O2,H9_C24_N_O2,0,24,9,2,1,0
528,345.078916037,0.01753804371192803,-0.18158165294111867,19.0,N1O2,H11_C24_N_O2,0,24,11,2,1,0
665,367.063336037,0.018109281149812795,0.020198149229347612,22.0,N1O2,H9_C26_N_O2,0,26,9,2,1,0
684,369.078946037,0.02135726915028618,-0.08849055287145292,21.0,N1O2,H11_C26_N_O2,0,26,11,2,1,0
699,371.094666037,0.014012750605140133,0.10042181540186723,20.0,N1O2,H13_C26_N_O2,0,26,13,2,1,0
769,381.079096037,0.015171564596964037,0.30791507918285344,22.0,N1O2,H11_C27_N_O2,0,27,11,2,1,0
842,391.063456037,0.012760733286674418,0.3258141308071716,24.0,N1O2,H9_C28_N_O2,0,28,9,2,1,0
0,201.042616037,0.014217092056208776,0.11364754616002662,8.0,N1O3,H7_C11_N_O3,0,11,7,3,1,0
13,211.026946037,0.016414273772001015,0.013846572904320396,10.0,N1O3,H5_C12_N_O3,0,12,5,3,1,0
16,213.042656037,0.022515462599214837,0.295001954857242,9.0,N1O3,H7_C12_N_O3,0,12,7,3,1,0
42,227.058306037,0.018517653780502453,0.27646643314354924,9.0,N1O3,H9_C13_N_O3,0,13,9,3,1,0
53,235.026976037,0.012613819756224156,0.14007753730115197,12.0,N1O3,H5_C14_N_O3,0,14,5,3,1,0
59,237.042626037,0.026467489757717892,0.13857423256964913,11.0,N1O3,H7_C14_N_O3,0,14,7,3,1,0
66,239.058296037,0.022920616163635388,0.22075786892718258,10.0,N1O3,H9_C14_N_O3,0,14,9,3,1,0
80,247.026866037,0.013246873239486564,-0.3120227416573756,13.0,N1O3,H5_C15_N_O3,0,15,5,3,1,0
91,251.058256037,0.01810946398834443,0.050880621095106465,11.0,N1O3,H9_C15_N_O3,0,15,9,3,1,0
95,253.073996037,0.011439287191241126,0.405810164589645,10.0,N1O3,H11_C15_N_O3,0,15,11,3,1,0
117,261.042546037,0.019922706949947452,-0.18062955903170963,13.0,N1O3,H7_C16_N_O3,0,16,7,3,1,0
125,263.058256037,0.027230907114036723,0.04855958585842069,12.0,N1O3,H9_C16_N_O3,0,16,9,3,1,0
131,265.074006037,0.01779880470141027,0.42516428401726114,11.0,N1O3,H11_C16_N_O3,0,16,11,3,1,0
160,273.042646037,0.025872848987783727,0.19355218227909513,14.0,N1O3,H7_C17_N_O3,0,17,7,3,1,0
173,277.073806037,0.01589090678603548,-0.3150785029699745,12.0,N1O3,H11_C17_N_O3,0,17,11,3,1,0
202,285.042566037,0.026220918146402913,-0.09525594863662837,15.0,N1O3,H7_C18_N_O3,0,18,7,3,1,0
213,287.058286037,0.04946010551888689,0.14900806591671048,14.0,N1O3,H9_C18_N_O3,0,18,9,3,1,0
222,289.073896037,0.01901501337048317,0.009340172249482135,13.0,N1O3,H11_C18_N_O3,0,18,11,3,1,0
256,297.042556037,0.017873358497825217,-0.12507298785766557,16.0,N1O3,H7_C19_N_O3,0,19,7,3,1,0
268,299.058246037,0.026614547342768836,0.009275785007778994,15.0,N1O3,H9_C19_N_O3,0,19,9,3,1,0
280,301.073776037,0.0182898480512072,-0.3896055031542048,14.0,N1O3,H11_C19_N_O3,0,19,11,3,1,0
314,309.042636037,0.021543476343353476,0.1386475362340648,17.0,N1O3,H7_C20_N_O3,0,20,7,3,1,0
325,311.058236037,0.045144246304113005,-0.02323037682144393,16.0,N1O3,H9_C20_N_O3,0,20,9,3,1,0
339,313.073856037,0.045355951161501165,-0.11914121621714217,15.0,N1O3,H11_C20_N_O3,0,20,11,3,1,0
382,321.042446037,0.01760858060120855,-0.4583568365197318,18.0,N1O3,H7_C21_N_O3,0,21,7,3,1,0
394,323.058176037,0.034103707788123605,-0.20809255107988703,17.0,N1O3,H9_C21_N_O3,0,21,9,3,1,0
405,325.073856037,0.023493582256728346,-0.11474315538248994,16.0,N1O3,H11_C21_N_O3,0,21,11,3,1,0
418,327.089606037,0.014409704138444893,0.1914643535953475,15.0,N1O3,H13_C21_N_O3,0,21,13,3,1,0
450,333.042486037,0.018399329547726176,-0.3217367285970692,19.0,N1O3,H7_C22_N_O3,0,22,7,3,1,0
462,335.058176037,0.04387599514026264,-0.20063978379483235,18.0,N1O3,H9_C22_N_O3,0,22,9,3,1,0
