m/z	Intensity	Relative
 477.7192	     27.9	    0.40
 477.7231	     21.2	    0.30
 477.7245	     14.2	    0.20
 477.7337	     11.9	    0.17
 477.7380	     26.7	    0.38
 477.7544	      8.8	    0.13
 477.7549	      7.7	    0.11
 477.7557	      6.4	    0.09
 477.7673	     13.9	    0.20
 477.7763	     22.2	    0.32
 477.7974	     25.3	    0.36
 477.7995	     11.2	    0.16
 477.8016	     17.5	    0.25
 477.8102	     12.9	    0.18
 477.8118	     14.4	    0.20
 477.8780	     25.1	    0.36
 477.8814	     12.9	    0.18
 477.9811	      7.5	    0.11
 477.9983	     20.5	    0.29
 478.0091	      5.8	    0.08
 478.0124	     59.3	    0.84
 478.0170	     14.0	    0.20
 478.0188	     19.6	    0.28
 478.0227	     14.8	    0.21
 478.0274	     65.2	    0.93
 478.0304	     41.5	    0.59
 478.0335	     81.9	    1.16
 478.0348	     61.3	    0.87
 478.0376	     13.6	    0.19
 478.0409	     31.5	    0.45
 478.0462	     61.5	    0.87
 478.0487	     47.8	    0.68
 478.0505	     14.8	    0.21
 478.0534	      9.3	    0.13
 478.0549	     23.5	    0.33
 478.0580	     11.2	    0.16
 478.0601	     39.8	    0.56
 478.0636	     80.9	    1.15
 478.0654	     48.3	    0.69
 478.0698	    126.0	    1.79
 478.0770	     17.9	    0.25
 478.0787	     17.4	    0.25
 478.0825	     33.2	    0.47
 478.0850	     12.2	    0.17
 478.0889	     45.1	    0.64
 478.0903	     46.7	    0.66
 478.1062	     13.3	    0.19
 478.1140	     31.8	    0.45
 478.1247	     13.0	    0.18
 478.1259	     24.2	    0.34
 478.1428	     18.3	    0.26
 478.1791	      8.1	    0.12
 478.2018	     19.7	    0.28
 478.2314	     14.3	    0.20
 478.2462	     12.9	    0.18
 478.2486	     14.9	    0.21
 478.2759	      8.8	    0.12
 478.2799	     19.3	    0.27
 478.2910	     19.3	    0.27
 478.3016	      5.9	    0.08
 478.3090	     13.9	    0.20
 478.3174	     17.9	    0.25
 478.3187	     13.4	    0.19
 478.3260	     15.8	    0.22
 478.3319	      7.5	    0.11
 478.3435	      9.7	    0.14
 478.3577	     13.7	    0.19
 478.3642	     11.4	    0.16
 478.3658	     11.9	    0.17
 478.3667	     13.5	    0.19
 478.3736	     18.4	    0.26
 478.3818	     31.8	    0.45
 478.3839	     29.9	    0.43
 478.3870	     12.1	    0.17
 478.3899	     29.6	    0.42
 478.3969	     42.0	    0.60
 478.4042	     11.0	    0.16
 478.4112	      7.3	    0.10
 478.4159	     10.7	    0.15
 478.4201	     13.7	    0.19
 478.4324	      9.2	    0.13
 478.4427	      5.7	    0.08
 478.4703	      7.1	    0.10
 478.5169	     12.0	    0.17
 478.5259	      8.7	    0.12
 478.5303	     23.8	    0.34
 478.5334	      8.4	    0.12
 478.5370	     36.2	    0.51
 478.5389	     37.6	    0.53
 478.5423	     38.5	    0.55
 478.5472	     22.0	    0.31
 478.5489	      6.4	    0.09
 478.5521	     25.8	    0.37
 478.5552	     19.5	    0.28
 478.5589	     13.9	    0.20
 478.5608	     12.0	    0.17
 478.5637	     12.7	    0.18
 478.5660	     20.7	    0.29
 478.5689	     12.7	    0.18
 478.5722	     17.7	    0.25
 478.5860	      9.2	    0.13
 478.5892	     14.3	    0.20
 478.5923	     11.1	    0.16
 478.5968	     13.8	    0.20
 478.6095	     18.4	    0.26
 478.6121	      6.4	    0.09
 478.6343	      8.8	    0.12
 478.6819	     13.7	    0.19
 478.6858	     15.4	    0.22
 478.6880	      9.3	    0.13
 478.6908	      6.0	    0.09
 478.6970	     11.0	    0.16
 478.7007	     14.9	    0.21
 478.7046	     22.9	    0.32
 478.7064	     36.3	    0.52
 478.7103	      5.8	    0.08
 478.7146	     21.1	    0.30
 478.7190	     17.9	    0.25
 478.7341	     14.1	    0.20
 478.7401	     21.9	    0.31
 478.7423	     15.4	    0.22
 478.7689	      7.5	    0.11
 478.7703	     13.1	    0.19
 478.7827	      7.0	    0.10
 478.7888	     19.3	    0.27
 478.7912	     11.1	    0.16
 478.7966	     10.3	    0.15
 478.7991	     18.0	    0.26
 478.8017	     21.0	    0.30
 478.8056	     10.3	    0.15
 478.8098	      9.2	    0.13
 478.8118	     12.1	    0.17
 478.8184	     14.8	    0.21
 478.8373	     12.9	    0.18
 478.8400	     12.1	    0.17
 478.8465	     12.7	    0.18
 478.8487	     20.7	    0.29
 478.8659	     23.5	    0.33
 478.9357	     15.3	    0.22
 478.9886	     24.8	    0.35
 479.0021	     22.1	    0.31
 479.0037	     16.6	    0.24
 479.0066	      9.1	    0.13
 479.0096	    133.2	    1.89
 479.0134	     25.1	    0.36
 479.0159	     11.6	    0.16
 479.0172	     15.8	    0.22
 479.0187	      4.7	    0.07
 479.0199	     14.0	    0.20
 479.0248	    576.6	    8.19
 479.0278	     94.7	    1.34
 479.0358	     60.3	    0.86
 479.0370	     38.9	    0.55
 479.0389	     28.9	    0.41
 479.0404	     16.2	    0.23
 479.0436	     73.7	    1.05
 479.0458	    319.3	    4.54
 479.0485	     35.9	    0.51
 479.0502	     20.4	    0.29
 479.0517	     19.1	    0.27
 479.0540	     50.0	    0.71
 479.0554	     25.5	    0.36
 479.0592	     32.2	    0.46
 479.0612	    648.8	    9.22
 479.0634	     12.3	    0.18
 479.0654	      5.7	    0.08
 479.0668	     32.0	    0.45
 479.0718	     32.0	    0.45
 479.0740	     26.2	    0.37
 479.0788	     17.1	    0.24
 479.0804	     26.5	    0.38
 479.0823	    512.5	    7.28
 479.0888	      8.8	    0.12
 479.0910	     42.2	    0.60
 479.0951	      9.5	    0.13
 479.0975	    215.6	    3.06
 479.1031	     18.4	    0.26
 479.1164	     18.0	    0.26
 479.1187	    226.7	    3.22
 479.1235	     16.6	    0.24
 479.1337	     31.7	    0.45
 479.1364	     16.1	    0.23
 479.1385	     26.0	    0.37
 479.1403	     31.2	    0.44
 479.1550	    194.5	    2.76
 479.1913	     68.4	    0.97
 479.1939	     11.2	    0.16
 479.2188	     13.5	    0.19
 479.2214	     12.8	    0.18
 479.2237	     26.8	    0.38
 479.2302	     23.3	    0.33
 479.2363	      9.1	    0.13
 479.2390	     12.3	    0.18
 479.2411	      7.5	    0.11
 479.2478	     37.2	    0.53
 479.2564	     10.9	    0.15
 479.2605	     11.9	    0.17
 479.2694	     17.1	    0.24
 479.2831	     19.2	    0.27
 479.2946	      8.3	    0.12
 479.3027	     24.6	    0.35
 479.3044	     18.0	    0.26
 479.3129	     21.2	    0.30
 479.3155	     45.0	    0.64
 479.3255	      9.4	    0.13
 479.3302	     12.0	    0.17
 479.3422	     17.0	    0.24
 479.3445	     11.1	    0.16
 479.3467	     10.6	    0.15
 479.3684	     11.5	    0.16
 479.3729	     15.7	    0.22
 479.3756	     19.4	    0.28
 479.3824	     17.7	    0.25
 479.3953	     10.1	    0.14
 479.3974	     12.0	    0.17
 479.4114	     16.9	    0.24
 479.4197	      8.4	    0.12
 479.4398	     26.5	    0.38
 479.4401	     27.1	    0.38
 479.4426	     12.5	    0.18
 479.4470	     25.6	    0.36
 479.4835	     21.5	    0.31
 479.4854	     15.6	    0.22
 479.5017	     22.8	    0.32
 479.5058	      6.8	    0.10
 479.5090	     12.6	    0.18
 479.5180	     17.9	    0.25
 479.5222	     11.1	    0.16
 479.5241	     33.5	    0.48
 479.5263	     31.6	    0.45
 479.5275	     23.5	    0.33
 479.5295	      5.8	    0.08
 479.5310	     19.1	    0.27
 479.5338	     14.5	    0.21
 479.5373	     29.3	    0.42
 479.5389	      7.1	    0.10
 479.5413	     21.0	    0.30
 479.5449	      7.8	    0.11
 479.5503	     20.6	    0.29
 479.5555	     22.0	    0.31
 479.5620	      8.6	    0.12
 479.5718	     20.2	    0.29
 479.5767	      5.3	    0.08
 479.5809	     19.5	    0.28
 479.5919	     23.7	    0.34
 479.5963	      7.7	    0.11
 479.6006	     12.8	    0.18
 479.6077	      5.5	    0.08
 479.6206	     11.1	    0.16
 479.6239	      8.6	    0.12
 479.6345	      6.5	    0.09
 479.6431	     13.4	    0.19
 479.6484	      7.1	    0.10
 479.6522	     13.9	    0.20
 479.6738	     41.2	    0.59
 479.6913	     10.4	    0.15
 479.6948	     11.2	    0.16
 479.6990	     16.6	    0.24
 479.6994	     15.8	    0.22
 479.7005	     12.5	    0.18
 479.7032	     26.9	    0.38
 479.7049	     14.2	    0.20
 479.7082	     14.2	    0.20
 479.7135	     13.7	    0.19
 479.7302	     13.2	    0.19
 479.7317	      7.3	    0.10
 479.7340	     12.9	    0.18
 479.7399	      7.7	    0.11
 479.7459	     16.2	    0.23
 479.7576	     14.5	    0.21
 479.7726	      9.8	    0.14
 479.7802	     13.7	    0.19
 479.7841	     16.8	    0.24
 479.7905	     15.0	    0.21
 479.7968	      6.6	    0.09
 479.8001	     16.6	    0.24
 479.8184	      8.3	    0.12
 479.8244	     11.7	    0.17
 479.8417	      9.8	    0.14
 479.8455	     12.7	    0.18
 479.8607	     24.4	    0.35
 479.8628	     10.9	    0.16
 479.8824	     23.8	    0.34
 479.9767	      8.4	    0.12
 479.9811	     12.4	    0.18
 479.9993	      8.0	    0.11
 480.0064	      6.7	    0.10
 480.0092	     10.3	    0.15
 480.0113	     16.6	    0.24
 480.0141	     31.3	    0.44
 480.0199	      6.8	    0.10
 480.0225	     13.3	    0.19
 480.0249	     55.4	    0.79
 480.0285	     42.4	    0.60
 480.0328	     49.2	    0.70
 480.0348	     44.0	    0.62
 480.0361	     33.4	    0.47
 480.0388	     24.5	    0.35
 480.0410	     28.3	    0.40
 480.0429	     67.0	    0.95
 480.0445	     54.0	    0.77
 480.0461	     39.6	    0.56
 480.0498	     63.0	    0.89
 480.0532	     47.3	    0.67
 480.0562	     76.1	    1.08
 480.0610	     79.9	    1.13
 480.0643	     45.3	    0.64
 480.0692	     60.7	    0.86
 480.0716	      5.3	    0.07
 480.0794	     29.9	    0.43
 480.0807	     14.6	    0.21
 480.0831	     12.3	    0.18
 480.0860	     52.6	    0.75
 480.0937	     14.4	    0.20
 480.0984	     24.3	    0.35
 480.1010	     14.3	    0.20
 480.1057	     15.2	    0.22
 480.1146	     14.7	    0.21
 480.1215	      6.6	    0.09
 480.1339	      7.1	    0.10
 480.1583	     13.2	    0.19
 480.1947	     28.1	    0.40
 480.2296	     14.6	    0.21
 480.2410	     12.4	    0.18
 480.2601	     27.3	    0.39
 480.2750	     17.9	    0.25
 480.2798	     22.8	    0.32
 480.2940	     28.2	    0.40
 480.2976	      6.5	    0.09
 480.2999	     18.7	    0.27
 480.3039	      9.8	    0.14
 480.3053	      9.9	    0.14
 480.3077	     30.0	    0.43
 480.3095	     19.5	    0.28
 480.3128	      5.1	    0.07
 480.3246	      9.6	    0.14
 480.3289	     21.6	    0.31
 480.3344	      9.1	    0.13
 480.3402	     11.2	    0.16
 480.3425	     12.6	    0.18
 480.3517	     15.6	    0.22
 480.3637	     22.2	    0.32
 480.3732	      6.1	    0.09
 480.3758	     12.1	    0.17
 480.3794	     16.7	    0.24
 480.3816	     17.0	    0.24
 480.3852	     10.3	    0.15
 480.3875	      6.2	    0.09
 480.3931	     22.5	    0.32
 480.3972	     18.8	    0.27
 480.3990	     29.3	    0.42
 480.4049	     11.0	    0.16
 480.4130	     15.3	    0.22
 480.4161	     18.8	    0.27
 480.4238	     15.9	    0.23
 480.4403	     11.9	    0.17
 480.4485	     32.6	    0.46
 480.4542	     11.9	    0.17
 480.4973	     18.3	    0.26
 480.5198	     13.7	    0.19
 480.5337	     21.2	    0.30
 480.5456	     11.0	    0.16
 480.5469	     24.5	    0.35
 480.5507	     35.0	    0.50
 480.5527	     16.5	    0.24
 480.5595	     15.0	    0.21
 480.5610	     10.0	    0.14
 480.5661	     10.0	    0.14
 480.5813	     12.7	    0.18
 480.5829	      8.7	    0.12
 480.5992	     14.7	    0.21
 480.6048	     28.6	    0.41
 480.6110	     10.7	    0.15
 480.6134	      8.2	    0.12
 480.6340	     13.0	    0.18
 480.6697	      8.6	    0.12
 480.6829	     27.5	    0.39
 480.6908	     13.3	    0.19
 480.6960	     17.8	    0.25
 480.6994	     18.5	    0.26
 480.7016	     14.4	    0.20
 480.7125	     17.8	    0.25
 480.7255	     12.0	    0.17
 480.7316	      7.5	    0.11
 480.7339	      7.3	    0.10
 480.7408	      8.8	    0.13
 480.7607	     28.3	    0.40
 480.7639	      8.9	    0.13
 480.7717	     27.3	    0.39
 480.7776	      9.7	    0.14
 480.7955	      7.6	    0.11
 480.7984	     23.8	    0.34
 480.8023	     21.0	    0.30
 480.8069	     18.0	    0.26
 480.8302	      9.2	    0.13
 480.8370	     19.7	    0.28
 480.8389	     16.9	    0.24
 480.8450	     15.8	    0.22
 480.8521	     12.5	    0.18
 480.8594	     11.7	    0.17
 480.8600	     13.0	    0.18
 480.8762	      8.9	    0.13
 480.9802	     14.1	    0.20
 480.9863	      6.2	    0.09
 481.0041	    390.7	    5.55
 481.0070	     10.4	    0.15
 481.0074	     11.4	    0.16
 481.0106	     42.3	    0.60
 481.0155	     10.7	    0.15
 481.0194	     26.5	    0.38
 481.0217	     12.5	    0.18
 481.0235	     56.1	    0.80
 481.0253	     94.7	    1.35
 481.0289	     24.2	    0.34
 481.0309	     37.2	    0.53
 481.0327	     42.4	    0.60
 481.0341	     52.5	    0.75
 481.0364	     12.8	    0.18
 481.0403	   1062.4	   15.09
 481.0451	     34.6	    0.49
 481.0473	     51.0	    0.72
 481.0506	     50.6	    0.72
 481.0526	     37.3	    0.53
 481.0558	     47.8	    0.68
 481.0591	     28.3	    0.40
 481.0615	    360.3	    5.12
 481.0656	     46.7	    0.66
 481.0689	     17.3	    0.25
 481.0704	     41.5	    0.59
 481.0720	     26.3	    0.37
 481.0768	    701.3	    9.96
 481.0808	     44.1	    0.63
 481.0828	     19.5	    0.28
 481.0887	      7.7	    0.11
 481.0924	     40.5	    0.58
 481.0958	      8.8	    0.13
 481.0978	    188.9	    2.68
 481.1005	      6.3	    0.09
 481.1033	     17.8	    0.25
 481.1057	     30.6	    0.43
 481.1074	     15.8	    0.22
 481.1132	    290.6	    4.13
 481.1232	      9.3	    0.13
 481.1345	     73.4	    1.04
 481.1370	     21.9	    0.31
 481.1392	     10.5	    0.15
 481.1496	     56.3	    0.80
 481.1707	     62.6	    0.89
 481.1780	      8.1	    0.11
 481.2049	     16.6	    0.24
 481.2073	     12.1	    0.17
 481.2193	     28.0	    0.40
 481.2235	     12.0	    0.17
 481.2253	     18.1	    0.26
 481.2582	     18.0	    0.26
 481.2940	     15.4	    0.22
 481.3003	     17.5	    0.25
 481.3041	     37.0	    0.53
 481.3107	      7.0	    0.10
 481.3122	     20.5	    0.29
 481.3201	     20.3	    0.29
 481.3532	     13.2	    0.19
 481.3573	      7.1	    0.10
 481.3598	     10.2	    0.14
 481.3607	     11.5	    0.16
 481.3631	     23.8	    0.34
 481.3655	     12.2	    0.17
 481.3855	     17.5	    0.25
 481.3996	     28.6	    0.41
 481.4106	     30.7	    0.44
 481.4131	     20.0	    0.28
 481.4299	     11.8	    0.17
 481.4374	      8.1	    0.12
 481.4440	     12.0	    0.17
 481.4846	     10.8	    0.15
 481.4871	     10.8	    0.15
 481.5185	      7.5	    0.11
 481.5236	     10.3	    0.15
 481.5336	     11.4	    0.16
 481.5380	     20.9	    0.30
 481.5416	     62.9	    0.89
 481.5488	     26.9	    0.38
 481.5528	     31.4	    0.45
 481.5605	     17.6	    0.25
 481.5708	     35.9	    0.51
 481.5745	      7.1	    0.10
 481.5781	     14.1	    0.20
 481.5796	     22.6	    0.32
 481.6045	     12.5	    0.18
 481.6072	     13.9	    0.20
 481.6077	     14.7	    0.21
 481.6176	     13.1	    0.19
 481.6344	     28.6	    0.41
 481.6356	     27.8	    0.39
 481.6392	     12.2	    0.17
 481.6421	     17.8	    0.25
 481.6477	     12.1	    0.17
 481.6593	     33.9	    0.48
 481.6847	     25.3	    0.36
 481.6879	     31.9	    0.45
 481.6921	     36.9	    0.52
 481.6946	     11.5	    0.16
 481.6969	      7.9	    0.11
 481.6994	     34.7	    0.49
 481.7056	      6.2	    0.09
 481.7193	     13.0	    0.18
 481.7251	      7.9	    0.11
 481.7270	      6.5	    0.09
 481.7286	     20.1	    0.28
 481.7298	     19.7	    0.28
 481.7347	     22.1	    0.31
 481.7425	     14.2	    0.20
 481.7495	      5.6	    0.08
 481.7549	     13.0	    0.18
 481.7697	     21.5	    0.30
 481.7768	     20.7	    0.29
 481.7842	     20.3	    0.29
 481.8048	     26.0	    0.37
 481.8190	     25.7	    0.37
 481.8210	      5.9	    0.08
 481.8257	     18.6	    0.26
 481.8313	     15.9	    0.23
 481.8474	     17.5	    0.25
 481.8548	     11.9	    0.17
 481.8654	      9.2	    0.13
 481.8697	     10.9	    0.15
 481.8741	     10.7	    0.15
 481.9050	      8.8	    0.13
 481.9148	     23.9	    0.34
 481.9351	      9.0	    0.13
 482.0001	     13.4	    0.19
 482.0040	      8.0	    0.11
 482.0083	     14.2	    0.20
 482.0100	     15.8	    0.22
 482.0124	     15.2	    0.22
 482.0139	      7.8	    0.11
 482.0182	     10.9	    0.15
 482.0205	     22.1	    0.31
 482.0226	     28.3	    0.40
 482.0244	     12.9	    0.18
 482.0290	     41.5	    0.59
 482.0305	     29.2	    0.41
 482.0338	     23.6	    0.34
 482.0357	     43.7	    0.62
 482.0378	     36.0	    0.51
 482.0395	     65.4	    0.93
 482.0439	    122.2	    1.74
 482.0484	     19.0	    0.27
 482.0506	     54.4	    0.77
 482.0539	     26.0	    0.37
 482.0590	     19.2	    0.27
 482.0613	      8.1	    0.11
 482.0631	      7.9	    0.11
 482.0649	     38.9	    0.55
 482.0672	     46.7	    0.66
 482.0723	     88.8	    1.26
 482.0760	      5.7	    0.08
 482.0770	     20.8	    0.30
 482.0805	     94.7	    1.35
 482.0843	     16.6	    0.24
 482.0881	     11.0	    0.16
 482.0911	     15.7	    0.22
 482.0933	      8.0	    0.11
 482.0950	     23.6	    0.34
 482.1014	     11.5	    0.16
 482.1033	      7.3	    0.10
 482.1056	      7.5	    0.11
 482.1083	     16.2	    0.23
 482.1132	      8.6	    0.12
 482.1164	     40.2	    0.57
 482.1195	     23.4	    0.33
 482.1376	      7.6	    0.11
 482.2183	      9.0	    0.13
 482.2348	     20.5	    0.29
 482.2416	     15.6	    0.22
 482.2668	     23.2	    0.33
 482.2738	      8.8	    0.12
 482.2777	     13.4	    0.19
 482.2824	      6.6	    0.09
 482.2945	      7.9	    0.11
 482.3002	     14.1	    0.20
 482.3031	     13.8	    0.20
 482.3077	     13.0	    0.18
 482.3421	     15.6	    0.22
 482.3462	      7.0	    0.10
 482.3484	     19.9	    0.28
 482.3538	     18.3	    0.26
 482.3577	      7.3	    0.10
 482.3609	     13.4	    0.19
 482.3654	     14.1	    0.20
 482.3774	     36.6	    0.52
 482.3839	     16.3	    0.23
 482.3880	     41.9	    0.59
 482.3970	     12.7	    0.18
 482.4033	     13.3	    0.19
 482.4062	      5.8	    0.08
 482.4109	      6.2	    0.09
 482.4230	     14.9	    0.21
 482.4364	     12.0	    0.17
 482.4399	      6.8	    0.10
 482.4419	     15.5	    0.22
 482.4562	     31.0	    0.44
 482.4976	     37.7	    0.54
 482.5003	     12.7	    0.18
 482.5040	      7.4	    0.10
 482.5077	     10.8	    0.15
 482.5212	     21.3	    0.30
 482.5260	     14.9	    0.21
 482.5282	     17.7	    0.25
 482.5304	     13.8	    0.20
 482.5318	     30.9	    0.44
 482.5398	     18.7	    0.27
 482.5422	     41.5	    0.59
 482.5450	     18.2	    0.26
 482.5475	     23.2	    0.33
 482.5606	     20.8	    0.30
 482.5640	      4.8	    0.07
 482.5660	     11.2	    0.16
 482.5685	     13.6	    0.19
 482.5867	      7.5	    0.11
 482.5938	      8.4	    0.12
 482.6136	      6.2	    0.09
 482.6206	     23.3	    0.33
 482.6660	     11.3	    0.16
 482.6851	     15.5	    0.22
 482.6871	     11.1	    0.16
 482.6919	      9.2	    0.13
 482.6955	     23.7	    0.34
 482.6977	     26.8	    0.38
 482.7065	      8.7	    0.12
 482.7126	     19.4	    0.28
 482.7163	     17.7	    0.25
 482.7245	      7.8	    0.11
 482.7281	      7.2	    0.10
 482.7350	     19.2	    0.27
 482.7375	     20.5	    0.29
 482.7397	      7.1	    0.10
 482.7493	      9.8	    0.14
 482.7593	     16.8	    0.24
 482.7702	      6.7	    0.10
 482.7716	      9.0	    0.13
 482.7737	      6.2	    0.09
 482.7761	     10.8	    0.15
 482.7795	      8.9	    0.13
 482.7863	     25.4	    0.36
 482.7884	     35.1	    0.50
 482.7935	     13.3	    0.19
 482.7965	      6.6	    0.09
 482.8031	      7.7	    0.11
 482.8088	      6.9	    0.10
 482.8115	     20.0	    0.28
 482.8138	     19.5	    0.28
 482.8160	     18.3	    0.26
 482.8361	     13.6	    0.19
 482.8717	     15.4	    0.22
 482.9832	     12.8	    0.18
 482.9984	      8.1	    0.11
 483.0092	     13.1	    0.19
 483.0115	     26.9	    0.38
 483.0162	      8.7	    0.12
 483.0197	    832.9	   11.83
 483.0278	     26.0	    0.37
 483.0307	     24.1	    0.34
 483.0319	     13.5	    0.19
 483.0346	     22.1	    0.31
 483.0385	    106.0	    1.51
 483.0408	     85.8	    1.22
 483.0442	     55.5	    0.79
 483.0457	     27.1	    0.39
 483.0487	     34.3	    0.49
 483.0524	     32.9	    0.47
 483.0561	   1110.3	   15.77
 483.0602	     15.7	    0.22
 483.0645	     25.1	    0.36
 483.0669	     81.4	    1.16
 483.0715	     21.5	    0.30
 483.0749	     55.9	    0.79
 483.0773	    210.8	    3.00
 483.0791	     22.7	    0.32
 483.0819	     21.8	    0.31
 483.0845	     14.9	    0.21
 483.0865	     51.4	    0.73
 483.0898	      7.5	    0.11
 483.0924	    522.8	    7.43
 483.0994	     19.4	    0.28
 483.1035	     36.8	    0.52
 483.1079	      6.7	    0.10
 483.1136	     65.3	    0.93
 483.1254	     12.3	    0.17
 483.1289	    123.1	    1.75
 483.1497	     58.5	    0.83
 483.1651	     22.1	    0.31
 483.1868	     10.9	    0.15
 483.2016	     54.0	    0.77
 483.2039	     11.9	    0.17
 483.2319	     14.0	    0.20
 483.2378	     23.0	    0.33
 483.2426	     11.2	    0.16
 483.2486	     32.7	    0.46
 483.2919	      7.2	    0.10
 483.2948	     14.9	    0.21
 483.2967	     13.1	    0.19
 483.3068	     10.3	    0.15
 483.3151	     14.7	    0.21
 483.3275	     22.6	    0.32
 483.3309	      8.5	    0.12
 483.3391	      9.9	    0.14
 483.3449	      8.1	    0.12
 483.3507	      6.1	    0.09
 483.3554	      9.5	    0.13
 483.3596	     14.3	    0.20
 483.3633	     15.0	    0.21
 483.3662	     22.1	    0.31
 483.3687	     12.9	    0.18
 483.3720	      7.4	    0.11
 483.3783	     11.3	    0.16
 483.3796	      8.0	    0.11
 483.3871	     14.2	    0.20
 483.3906	     16.4	    0.23
 483.4162	     14.5	    0.21
 483.4233	     14.7	    0.21
 483.4276	      8.6	    0.12
 483.4334	     25.1	    0.36
 483.4363	      8.3	    0.12
 483.4403	      7.0	    0.10
 483.4550	     12.2	    0.17
 483.4584	     12.5	    0.18
 483.4882	     10.0	    0.14
 483.5074	     10.4	    0.15
 483.5099	     15.0	    0.21
 483.5111	     14.7	    0.21
 483.5129	     13.9	    0.20
 483.5188	      6.9	    0.10
 483.5216	     13.0	    0.18
 483.5239	     14.5	    0.21
 483.5259	     46.6	    0.66
 483.5271	     14.2	    0.20
 483.5348	     28.7	    0.41
 483.5373	      5.8	    0.08
 483.5394	     74.0	    1.05
 483.5418	     14.8	    0.21
 483.5445	     16.9	    0.24
 483.5459	      7.1	    0.10
 483.5492	     10.4	    0.15
 483.5516	     14.1	    0.20
 483.5534	     10.8	    0.15
 483.5593	     24.4	    0.35
 483.5608	     14.7	    0.21
 483.5662	     15.5	    0.22
 483.5682	     40.6	    0.58
 483.5714	     13.9	    0.20
 483.5765	     28.2	    0.40
 483.5813	      9.3	    0.13
 483.5844	     43.6	    0.62
 483.5970	     11.9	    0.17
 483.5984	     16.7	    0.24
 483.6528	     14.4	    0.20
 483.6773	     12.6	    0.18
 483.6845	     20.7	    0.29
 483.6915	      9.6	    0.14
 483.7008	     15.4	    0.22
 483.7084	      9.2	    0.13
 483.7111	     21.9	    0.31
 483.7160	     26.9	    0.38
 483.7221	     17.5	    0.25
 483.7352	     10.0	    0.14
 483.7412	     26.5	    0.38
 483.7482	      8.1	    0.11
 483.7511	      6.5	    0.09
 483.7654	     18.3	    0.26
 483.7742	      9.0	    0.13
 483.7845	     11.8	    0.17
 483.7915	      8.8	    0.12
 483.7942	     12.7	    0.18
 483.8024	     11.6	    0.17
 483.8039	     20.7	    0.29
 483.8052	     12.3	    0.17
 483.8134	     33.5	    0.48
 483.8248	     10.8	    0.15
 483.8388	     21.0	    0.30
 483.8554	     16.9	    0.24
 483.9075	     15.0	    0.21
 484.0071	     12.2	    0.17
 484.0093	      6.6	    0.09
 484.0138	     26.3	    0.37
 484.0171	     23.9	    0.34
 484.0181	     14.7	    0.21
 484.0231	     63.0	    0.90
 484.0270	     24.4	    0.35
 484.0316	     10.1	    0.14
 484.0338	     30.5	    0.43
 484.0360	     27.6	    0.39
 484.0379	     48.7	    0.69
 484.0403	     13.8	    0.20
 484.0410	     11.7	    0.17
 484.0424	     25.2	    0.36
 484.0456	    122.8	    1.74
 484.0496	     23.0	    0.33
 484.0518	     70.1	    1.00
 484.0540	     32.3	    0.46
 484.0562	      9.7	    0.14
 484.0593	    171.6	    2.44
 484.0626	     17.6	    0.25
 484.0642	     60.0	    0.85
 484.0671	     18.1	    0.26
 484.0699	     78.8	    1.12
 484.0722	      8.4	    0.12
 484.0748	     10.3	    0.15
 484.0788	     20.6	    0.29
 484.0814	      6.4	    0.09
 484.0840	     12.1	    0.17
 484.0881	     43.3	    0.62
 484.0963	     17.3	    0.25
 484.1012	     37.3	    0.53
 484.1073	     13.0	    0.18
 484.1320	     10.4	    0.15
 484.1325	      9.3	    0.13
 484.1331	      8.5	    0.12
 484.1529	     11.1	    0.16
 484.2112	     10.4	    0.15
 484.2194	     28.3	    0.40
 484.2263	      9.2	    0.13
 484.2493	     13.9	    0.20
 484.2627	     28.7	    0.41
 484.2709	      8.4	    0.12
 484.2835	     23.3	    0.33
 484.2867	     21.6	    0.31
 484.2957	     24.2	    0.34
 484.3151	     11.3	    0.16
 484.3229	     13.8	    0.20
 484.3478	      9.8	    0.14
 484.3577	     16.2	    0.23
 484.3596	      8.2	    0.12
 484.3685	      8.4	    0.12
 484.3736	     39.8	    0.56
 484.3763	     20.0	    0.28
 484.3789	     14.6	    0.21
 484.3819	     12.0	    0.17
 484.3854	     15.4	    0.22
 484.3952	      8.4	    0.12
 484.4079	      8.8	    0.12
 484.4135	     14.1	    0.20
 484.4185	     18.1	    0.26
 484.4358	     19.7	    0.28
 484.4534	     32.1	    0.46
 484.4546	     13.4	    0.19
 484.4612	     23.4	    0.33
 484.4636	     36.9	    0.52
 484.4953	     15.8	    0.23
 484.4997	     15.8	    0.23
 484.5148	     20.3	    0.29
 484.5171	     10.8	    0.15
 484.5207	     12.5	    0.18
 484.5254	     22.5	    0.32
 484.5294	     12.0	    0.17
 484.5315	     23.9	    0.34
 484.5359	     20.6	    0.29
 484.5387	     31.6	    0.45
 484.5414	     14.0	    0.20
 484.5438	     26.1	    0.37
 484.5460	      6.7	    0.10
 484.5480	     24.5	    0.35
 484.5545	     16.3	    0.23
 484.5571	     17.1	    0.24
 484.5661	     21.8	    0.31
 484.5681	     19.2	    0.27
 484.5701	     20.4	    0.29
 484.5758	     31.7	    0.45
 484.5802	     28.8	    0.41
 484.5935	      7.5	    0.11
 484.5967	      6.5	    0.09
 484.6139	     11.8	    0.17
 484.6309	     23.3	    0.33
 484.6340	     10.3	    0.15
