m/z	Intensity	Relative
 204.4991	      6.9	    0.10
 204.5003	     12.0	    0.17
 204.5617	     10.4	    0.15
 204.6404	     10.8	    0.15
 204.6421	     18.9	    0.27
 204.6428	      4.9	    0.07
 204.6432	     10.6	    0.15
 204.6556	     11.7	    0.17
 204.6562	      7.7	    0.11
 204.6730	      9.3	    0.13
 204.6741	     19.4	    0.28
 204.6809	     10.9	    0.16
 204.6857	     12.4	    0.18
 204.6871	      4.2	    0.06
 204.6875	      6.1	    0.09
 204.8040	      6.3	    0.09
 204.9458	     16.9	    0.24
 204.9459	     16.0	    0.23
 204.9814	      6.6	    0.09
 204.9840	     10.5	    0.15
 204.9889	    102.1	    1.45
 204.9963	     12.4	    0.18
 204.9981	      6.7	    0.09
 205.0072	     28.7	    0.41
 205.0137	    181.2	    2.57
 205.0143	    631.4	    8.97
 205.0149	     11.2	    0.16
 205.0169	      4.7	    0.07
 205.0210	     19.3	    0.27
 205.0300	      7.7	    0.11
 205.0348	     11.4	    0.16
 205.0354	     14.6	    0.21
 205.0356	     10.3	    0.15
 205.0501	     15.7	    0.22
 205.0507	    137.2	    1.95
 205.0511	      7.9	    0.11
 205.0717	      8.8	    0.12
 205.0748	     11.7	    0.17
 205.0844	     10.4	    0.15
 205.0864	      8.6	    0.12
 205.0869	      8.9	    0.13
 205.1397	     10.5	    0.15
 205.1794	     11.1	    0.16
 205.2302	     10.1	    0.14
 205.2946	      6.1	    0.09
 205.3378	     19.4	    0.28
 205.3854	     10.4	    0.15
 205.4021	      8.0	    0.11
 205.4310	      8.1	    0.12
 205.4865	     13.2	    0.19
 205.4906	     17.1	    0.24
 205.5377	      6.5	    0.09
 205.6153	      4.8	    0.07
 205.6232	     21.1	    0.30
 205.6343	      9.9	    0.14
 205.6428	     10.8	    0.15
 205.6655	     13.3	    0.19
 205.6715	      9.3	    0.13
 205.6736	      8.7	    0.12
 205.7502	     12.0	    0.17
 205.7754	     16.9	    0.24
 205.8046	      8.7	    0.12
 205.8146	     11.9	    0.17
 205.8243	      6.8	    0.10
 205.8449	      7.3	    0.10
 205.9423	      6.0	    0.08
 205.9906	     12.3	    0.18
 205.9949	     12.2	    0.17
 206.0040	     24.3	    0.35
 206.0091	      7.1	    0.10
 206.0093	      7.5	    0.11
 206.0095	      6.8	    0.10
 206.0115	      6.2	    0.09
 206.0120	      7.8	    0.11
 206.0140	      8.7	    0.12
 206.0147	     11.7	    0.17
 206.0179	      9.8	    0.14
 206.0215	      8.7	    0.12
 206.0221	     25.0	    0.35
 206.0257	     11.6	    0.16
 206.0446	      5.7	    0.08
 206.0539	      6.6	    0.09
 206.0582	      6.0	    0.09
 206.0587	      8.1	    0.12
 206.0811	     10.9	    0.15
 206.1411	      9.6	    0.14
 206.1633	      6.8	    0.10
 206.1890	     11.4	    0.16
 206.1950	     10.6	    0.15
 206.2302	      3.9	    0.05
 206.2327	      6.3	    0.09
 206.2749	      7.9	    0.11
 206.2856	      5.1	    0.07
 206.2869	      9.6	    0.14
 206.3021	      7.2	    0.10
 206.3162	     10.5	    0.15
 206.3196	     12.3	    0.17
 206.3349	      7.6	    0.11
 206.3459	     13.5	    0.19
 206.3800	      7.5	    0.11
 206.3883	      7.5	    0.11
 206.4089	     27.0	    0.38
 206.4093	      5.0	    0.07
 206.4115	      8.8	    0.12
 206.4267	     10.4	    0.15
 206.4601	      7.3	    0.10
 206.4651	     13.8	    0.20
 206.5066	      7.5	    0.11
 206.5309	      8.8	    0.13
 206.5490	      5.9	    0.08
 206.5595	     11.5	    0.16
 206.6238	      6.4	    0.09
 206.6256	     12.1	    0.17
 206.7306	     11.0	    0.16
 206.7505	      8.4	    0.12
 206.7584	     13.8	    0.20
 206.7747	      9.2	    0.13
 206.8161	      7.6	    0.11
 206.8619	      8.9	    0.13
 206.9863	      7.5	    0.11
 206.9929	     21.8	    0.31
 206.9935	    131.2	    1.86
 206.9943	     28.0	    0.40
 206.9948	      7.0	    0.10
 206.9949	     11.3	    0.16
 206.9951	      9.7	    0.14
 206.9978	     13.6	    0.19
 207.0005	      5.6	    0.08
 207.0047	     18.6	    0.26
 207.0063	     11.7	    0.17
 207.0070	      5.1	    0.07
 207.0082	      9.1	    0.13
 207.0117	     13.3	    0.19
 207.0131	      9.2	    0.13
 207.0145	     20.0	    0.28
 207.0287	     18.3	    0.26
 207.0293	    106.1	    1.51
 207.0300	    736.8	   10.47
 207.0350	      8.7	    0.12
 207.0375	      8.8	    0.12
 207.0657	     10.9	    0.15
 207.0664	     92.9	    1.32
 207.0709	      6.6	    0.09
 207.0933	     11.8	    0.17
 207.1393	     11.8	    0.17
 207.1554	     22.7	    0.32
 207.1789	     12.5	    0.18
 207.1867	      5.6	    0.08
 207.2255	      9.8	    0.14
 207.3291	      9.0	    0.13
 207.3489	      6.7	    0.09
 207.3519	      7.7	    0.11
 207.3764	     13.3	    0.19
 207.4614	      7.6	    0.11
 207.4849	      6.7	    0.10
 207.5751	     12.0	    0.17
 207.5993	      5.2	    0.07
 207.6002	      7.4	    0.11
 207.6033	      9.6	    0.14
 207.6296	     12.4	    0.18
 207.6663	      4.7	    0.07
 207.6758	     11.3	    0.16
 207.7114	     16.5	    0.23
 207.7272	      6.6	    0.09
 207.7568	      9.1	    0.13
 207.8081	      7.6	    0.11
 207.8419	      7.6	    0.11
 207.8435	     12.8	    0.18
 207.8499	      7.4	    0.11
 207.8817	      9.8	    0.14
 207.8884	      7.2	    0.10
 207.9117	      7.4	    0.11
 207.9226	     12.0	    0.17
 207.9285	     10.2	    0.14
 207.9419	      8.6	    0.12
 207.9749	      5.1	    0.07
 207.9839	      5.2	    0.07
 207.9981	     11.5	    0.16
 208.0011	     24.7	    0.35
 208.0119	     21.4	    0.30
 208.0122	     14.0	    0.20
 208.0123	     14.5	    0.21
 208.0250	     17.8	    0.25
 208.0266	     11.1	    0.16
 208.0334	     16.2	    0.23
 208.0375	     11.2	    0.16
 208.0483	      6.9	    0.10
 208.0595	      7.0	    0.10
 208.0768	     10.3	    0.15
 208.0783	      6.6	    0.09
 208.0839	      5.2	    0.07
 208.1025	      5.0	    0.07
 208.1078	      9.0	    0.13
 208.1149	      5.4	    0.08
 208.1218	      8.9	    0.13
 208.1319	     14.7	    0.21
 208.1339	     10.4	    0.15
 208.1344	      9.8	    0.14
 208.2067	      6.2	    0.09
 208.2172	      5.0	    0.07
 208.2197	      6.2	    0.09
 208.2296	      5.0	    0.07
 208.2329	      5.7	    0.08
 208.2505	     11.1	    0.16
 208.2761	      7.1	    0.10
 208.3381	     11.0	    0.16
 208.3382	     13.9	    0.20
 208.3384	     14.3	    0.20
 208.3426	      7.6	    0.11
 208.3824	     16.5	    0.23
 208.3839	      6.2	    0.09
 208.3963	     11.3	    0.16
 208.4028	     10.8	    0.15
 208.4145	      9.8	    0.14
 208.4901	      8.0	    0.11
 208.5396	     14.5	    0.21
 208.5429	      7.4	    0.11
 208.6155	      3.9	    0.05
 208.6275	      8.7	    0.12
 208.6480	      5.2	    0.07
 208.7123	      8.3	    0.12
 208.7209	      9.2	    0.13
 208.7516	      8.5	    0.12
 208.7556	     11.3	    0.16
 208.8475	     11.0	    0.16
 208.8617	     11.5	    0.16
 208.8671	     12.4	    0.18
 208.8712	      9.5	    0.14
 208.8723	     11.3	    0.16
 208.8824	      5.3	    0.07
 208.8838	      7.9	    0.11
 208.9098	     14.1	    0.20
 208.9403	     10.4	    0.15
 208.9436	      3.8	    0.05
 208.9719	      5.5	    0.08
 208.9915	     12.5	    0.18
 208.9945	      9.9	    0.14
 209.0002	     11.1	    0.16
 209.0048	      9.9	    0.14
 209.0072	      7.0	    0.10
 209.0077	     15.1	    0.21
 209.0085	    350.7	    4.98
 209.0092	   1324.8	   18.82
 209.0104	     13.5	    0.19
 209.0337	     12.1	    0.17
 209.0351	      5.2	    0.07
 209.0449	     26.2	    0.37
 209.0456	    326.5	    4.64
 209.0464	     23.9	    0.34
 209.0556	     19.7	    0.28
 209.0602	      6.4	    0.09
 209.0607	     19.3	    0.27
 209.0821	      9.6	    0.14
 209.1180	      9.1	    0.13
 209.1403	     11.1	    0.16
 209.1617	     12.5	    0.18
 209.1740	      8.0	    0.11
 209.2084	      7.0	    0.10
 209.2105	     11.2	    0.16
 209.2487	      7.7	    0.11
 209.2777	     14.2	    0.20
 209.2895	     13.7	    0.20
 209.3007	      4.4	    0.06
 209.3066	      4.5	    0.06
 209.3103	     10.1	    0.14
 209.3312	      5.8	    0.08
 209.3938	     14.0	    0.20
 209.4546	     13.0	    0.18
 209.4568	      6.1	    0.09
 209.4998	      9.1	    0.13
 209.5050	      5.6	    0.08
 209.5292	      7.2	    0.10
 209.5425	      7.5	    0.11
 209.5710	     14.6	    0.21
 209.5842	      4.5	    0.06
 209.6034	     16.1	    0.23
 209.6205	      6.1	    0.09
 209.6417	      6.9	    0.10
 209.6451	      8.1	    0.12
 209.7062	      5.1	    0.07
 209.7093	      4.3	    0.06
 209.7770	      8.8	    0.13
 209.8172	      8.1	    0.12
 209.8463	      6.4	    0.09
 209.8979	     12.7	    0.18
 209.9313	     11.4	    0.16
 209.9514	      9.5	    0.14
 209.9521	     10.9	    0.15
 209.9807	     15.5	    0.22
 209.9859	      7.8	    0.11
 209.9986	     10.4	    0.15
 209.9992	      6.5	    0.09
 210.0062	     12.6	    0.18
 210.0152	      7.9	    0.11
 210.0167	     33.8	    0.48
 210.0249	     11.7	    0.17
 210.0323	     10.5	    0.15
 210.0353	      6.6	    0.09
 210.0408	     27.2	    0.39
 210.0656	      6.2	    0.09
 210.0676	     10.2	    0.14
 210.0715	     10.1	    0.14
 210.1362	      7.7	    0.11
 210.1385	      9.9	    0.14
 210.1932	     10.2	    0.14
 210.2212	     12.0	    0.17
 210.2557	      7.2	    0.10
 210.2677	      5.3	    0.08
 210.3245	      5.8	    0.08
 210.3266	     10.2	    0.14
 210.3803	      9.8	    0.14
 210.3827	      4.9	    0.07
 210.3949	      9.9	    0.14
 210.4358	     10.0	    0.14
 210.4965	      6.5	    0.09
 210.5110	      6.8	    0.10
 210.5379	     10.3	    0.15
 210.5402	     10.9	    0.15
 210.5434	      8.1	    0.11
 210.5617	      9.2	    0.13
 210.5629	      9.8	    0.14
 210.5723	     12.7	    0.18
 210.5732	      5.5	    0.08
 210.5913	      6.4	    0.09
 210.5937	      8.1	    0.12
 210.6353	      6.3	    0.09
 210.6504	      8.9	    0.13
 210.6585	      6.9	    0.10
 210.6626	      9.1	    0.13
 210.6705	      5.6	    0.08
 210.7278	     15.6	    0.22
 210.7577	      9.9	    0.14
 210.7625	      7.9	    0.11
 210.7753	      7.5	    0.11
 210.8344	      6.7	    0.10
 210.8941	      6.5	    0.09
 210.9294	      5.5	    0.08
 210.9935	      5.7	    0.08
 211.0070	      9.1	    0.13
 211.0143	     21.4	    0.30
 211.0219	     10.2	    0.15
 211.0242	    123.5	    1.76
 211.0249	    876.3	   12.45
 211.0258	      6.3	    0.09
 211.0268	      6.0	    0.09
 211.0401	     58.7	    0.83
 211.0605	     15.4	    0.22
 211.0612	    199.8	    2.84
 211.0619	      5.4	    0.08
 211.0629	      8.7	    0.12
 211.0973	      6.6	    0.09
 211.0976	      4.5	    0.06
 211.0977	      5.0	    0.07
 211.1260	      5.2	    0.07
