Name,m/z,I,I %,Res.,S/N
FA-NaOD,654.14051,8784865,2.3,373442,6.2
FA-NaOD,654.14544,7793644,2.1,440031,5.2
FA-NaOD,654.15726,28883974,7.7,240518,25.9
FA-NaOD,654.1659400000001,8322075,2.2,385705,5.8
FA-NaOD,654.18236,7730240,2.1,266435,5.2
FA-NaOD,654.19371,12588121,3.4,206242,9.9
FA-NaOD,654.20149,7186539,1.9,351125,4.6
FA-NaOD,654.21105,12561536,3.3,231497,9.9
FA-NaOD,654.21699,7146638,1.9,394175,4.6
FA-NaOD,654.22879,9538729,2.5,294875,6.9
FA-NaOD,654.23494,7462071,2.0,447062,4.9
FA-NaOD,654.23853,8125631,2.2,372486,5.6
FA-NaOD,654.2425599999999,8326344,2.2,297021,5.8
FA-NaOD,654.24786,7257300,1.9,453087,4.7
FA-NaOD,654.2803,7486750,2.0,297539,4.9
FA-NaOD,654.28681,6589741,1.8,416103,4.1
FA-NaOD,654.29308,8181050,2.2,366591,5.6
FA-NaOD,654.3044,35663188,9.5,316851,32.6
FA-NaOD,654.31105,6815075,1.8,368046,4.3
FA-NaOD,654.3620099999999,9258454,2.5,227382,6.7
FA-NaOD,654.3653400000001,10048990,2.7,355096,7.4
FA-NaOD,654.3877,8707600,2.3,366584,6.1
FA-NaOD,654.3933599999999,8296989,2.2,289488,5.7
FA-NaOD,654.40524,8581688,2.3,356084,6.0
FA-NaOD,654.4237400000001,7443042,2.0,384180,4.9
FA-NaOD,654.433,6566519,1.7,345903,4.0
FA-NaOD,654.46515,8709823,2.3,362026,6.1
FA-NaOD,654.47741,6670043,1.8,538058,4.1
FA-NaOD,654.47998,9011937,2.4,338790,6.4
FA-NaOD,654.48293,8218344,2.2,465904,5.7
FA-NaOD,654.49857,6735627,1.8,497656,4.2
FA-NaOD,654.5015,7394065,2.0,236956,4.8
FA-NaOD,654.5306,7804755,2.1,391062,5.2
FA-NaOD,654.54048,8266601,2.2,243673,5.7
FA-NaOD,654.56031,7346070,2.0,496077,4.8
