mass	z	intensity	Res.	
224.91889		542374	1512995	
224.92327		497486	1388878	
224.93869		1300002	995090	
224.94217		494230	1447224	
224.94730		638126	1521687	
224.95117		498414	1216562	
224.96331		509968	1370325	
224.98379		1039260	951255	
225.00403		1002310	1375113	
225.00500		11378298	1065435	
225.01165		1359450	1262633	
225.01599		535492	1299385	
225.01925		850074	880464	
225.02985		822798	1311931	
225.03752		545742	1288679	
225.04043		1787698	1166623	
225.04380		2020874	1245369	
225.05567		2104358	997982	
225.07680		1355870	1208861	
225.07995		4362298	1139992	
225.08026		688102	1675608	
225.08789		586748	1463392	
225.08917		520964	1452991	
225.08986		1365570	1097299	
225.09199		490916	1346557	
225.09310		528979	1103956	
225.10031		604118	948951	
225.10331		514886	1327194	
225.11082		632468	1245964	
225.11319		1718490	1177181	
225.11509		542043	896889	
225.11791		489216	1152936	
225.12653		569977	1114537	
225.12965		538314	1227693	
225.14326		505461	1227796	
225.14958		2711554	958503	
225.15571		529813	798043	
225.15982		504974	714357	
225.18597		10342362	1078809	
225.20870		510238	1461920	
225.20949		490899	1036471	
225.22749		488709	1259760	
225.28924		521494	1029985	
225.32330		532808	965501	
225.35285		493779	1724776	
225.35321		514405	1525754	
225.36861		500565	1314859	
225.39609		500931	1366278	
225.39728		503420	1234693	
225.45039		491620	1396155	
225.49083		572615	937205	
225.49632		550122	1154707	
225.51188		549026	1204919	
225.52454		525272	1491267	
225.55069		520704	908452	
225.58045		617071	1359627	
225.66064		490495	1382787	
225.66125		530367	1185000	
225.68989		536487	1094507	
225.70113		541622	853172	
225.70164		490346	1074660	
225.70475		508902	1288237	
225.70932		515686	1241490	
225.73222		502257	1119455	
225.74063		627724	1028387	
225.75027		535150	1162391	
225.76039		581110	1022246	
225.78091		496534	1298074	
225.79463		515916	1243454	
225.79878		526616	1255269	
225.80178		498479	954839	
225.81906		506809	839222	
225.83204		494344	871935	
225.87143		536304	755346	
225.87275		502999	1522840	
225.88284		576387	889713	
225.88752		519361	1184314	
225.95164		490147	1154107	
225.95256		491682	1223188	
225.96809		490686	1260243	
225.98720		496841	1347434	
225.98930		508525	1246956	
226.00130		636971	1295741	
226.00836		510697	1322601	
226.00890		1347793	1118238	
226.01951		489013	1570658	
226.02710		1094857	1266609	
226.04525		533845	1134432	
226.04583		551601	996369	
226.04914		520459	1346246	
226.06670		492261	1178003	
226.07207		497840	1555862	
226.08331		663858	1481620	
226.10461		498846	1108477	
226.11980		504957	931128	
226.12385		537397	973533	
226.12677		525049	1308737	
226.12852		573533	1539631	
226.15290		574205	1340192	
226.16072		514323	1314567	
226.18123		546669	910748	
226.18932		1783956	1158554	
226.19379		597270	821664	
226.20269		516660	1290513	
226.20698		604388	910789	
226.21496		504828	1273005	
226.23437		499999	995840	
226.24420		511462	1183976	
226.28288		523813	1254201	
226.30713		519075	1639069	
226.30833		491339	1322489	
226.31975		526560	1289112	
226.32626		500094	1466135	
226.34096		512356	1475241	
226.38286		496537	1323202	
226.39776		506774	732403	
226.41557		497389	1596834	
226.51062		604883	1360297	
226.51643		497667	970332	
226.52466		630240	794810	
226.56893		530448	1506185	
226.60255		493879	1281861	
226.60480		496876	764737	
226.61609		508092	1105692	
226.61681		515005	1426382	
226.68746		542071	1369499	
226.69049		533545	1103635	
226.70863		563783	1126356	
226.73879		575784	1103970	
226.77619		531055	1559018	
226.81921		490467	676359	
226.83323		534890	1113373	
226.86187		516838	1087603	
226.88582		532740	1460904	
226.92196		718398	1299336	
226.92836		529263	1297027	
226.95434		1355131	1360014	
226.95907		623671	1233404	
226.96330		949388	1298999	
226.96359		517752	1040229	
226.97817		641668	1802011	
226.97841		1918356	1232116	
226.97962		497618	1071890	
227.00082		620080	1057415	
227.01675		1700717	1256098	
227.01964		869489	1281051	
227.02606		550283	1482048	
227.02723		616423	1142833	
227.03494		1217365	1194015	
227.05517		686738	1346845	
227.05608		2018974	1093718	
227.05925		865122	986332	
227.07134		554322	1779303	
227.07769		541339	1169008	
227.09005		505379	1420951	
227.09104		499517	1215032	
227.09246		4997319	1089817	
227.10363		638775	1303262	
227.10764		579771	913309	
227.12861		1196352	1661311	
227.12884		4237352	1230242	
227.16523		1596913	1074056	
227.17818		511469	1094995	
227.18006		489567	963685	
227.20101		3975674	1044912	
227.20161	1-	91084600	1117699	
227.22895		533415	1246754	
227.23312		496547	1278503	
227.26203		502272	1362676	
227.27186		518638	1088964	
227.27895		508188	1182796	
227.33370		515462	1241728	
227.34423		596033	875854	
227.34468		491990	929581	
227.35848		572319	874680	
227.36945		534431	1405148	
227.38434		510050	1361678	
227.39819		491552	1338642	
227.40572		490660	1176160	
227.42151		493019	1113599	
227.49493		568737	1008747	
227.50843		516935	978666	
227.51437		1312140	1215048	
227.51836		520352	1511068	
227.53247		491497	1243932	
227.53953		592397	1451198	
227.54147		508893	1215016	
227.54446		585279	1200028	
227.56361		534080	1432752	
