mass,intensity,C,O,H,N,assign,numbers,calculated_mass,abs_error,rel_error
237.004079,1.0,10.0,7.0,6.0,0.0,1.0,1.0,238.011355,4.1999998123820603e-07,0.0017721213196427983
237.004082,1.0,10.0,7.0,6.0,0.0,1.0,1.0,238.011355,3.4200000020856436e-06,0.014430131216413577
237.040463,1.0,11.0,6.0,10.0,0.0,1.0,1.0,238.04774,-5.800000162370367e-07,-0.002446839703637588
237.040468,1.0,11.0,6.0,10.0,0.0,1.0,1.0,238.04774,4.419999999560886e-06,0.01864660510019279
237.055713,1.0,15.0,3.0,10.0,0.0,1.0,1.0,238.062995,-5.58000000361325e-06,-0.02353877041391215
237.076847,1.0,12.0,5.0,14.0,0.0,1.0,1.0,238.08412500000003,-1.5800000421339888e-06,-0.006664505885443925
237.092101,1.0,16.0,2.0,14.0,0.0,1.0,1.0,238.09938,-2.5799999827658127e-06,-0.010881847062318675
237.11323,1.0,13.0,4.0,18.0,0.0,1.0,1.0,238.12051,-3.580000008662765e-06,-0.015098271862193285
237.149619,1.0,14.0,3.0,22.0,0.0,1.0,1.0,238.156895,4.2000000965991546e-07,0.001771033879080006
237.149622,1.0,14.0,3.0,22.0,0.0,1.0,1.0,238.156895,3.4200000020856436e-06,0.014421275367184197
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
239.019725,1.0,10.0,7.0,8.0,0.0,1.0,1.0,240.027005,-3.580000008662765e-06,-0.014977843392057977
239.034977,1.0,14.0,4.0,8.0,0.0,1.0,1.0,240.04226,-6.580000001088493e-06,-0.027527352204562486
239.056109,1.0,11.0,6.0,12.0,0.0,1.0,1.0,240.06339,-4.5800000061380075e-06,-0.019158682140760552
239.056112,1.0,11.0,6.0,12.0,0.0,1.0,1.0,240.06339,-1.57999998529057e-06,-0.006609326873393514
239.071363,1.0,15.0,3.0,12.0,0.0,1.0,1.0,240.078645,-5.58000000361325e-06,-0.02334031116731137
239.09249,1.0,12.0,5.0,16.0,0.0,1.0,1.0,240.09977500000002,-8.580000024460688e-06,-0.03588569437902749
239.092495,1.0,12.0,5.0,16.0,0.0,1.0,1.0,240.09977500000002,-3.580000008662765e-06,-0.01497328474765703
239.107756,1.0,16.0,2.0,16.0,0.0,1.0,1.0,240.11503000000002,2.4199999761886914e-06,0.010120959757527446
239.128877,1.0,13.0,4.0,20.0,0.0,1.0,1.0,240.13616,-6.580000001088493e-06,-0.02751654289368194
239.12888,1.0,13.0,4.0,20.0,0.0,1.0,1.0,240.13616,-3.5799999802410554e-06,-0.014971006347042045
,,,,,,,,,,
,,,,,,,,,,
241.014246,1.0,13.0,5.0,6.0,0.0,1.0,1.0,242.02152500000003,-2.580000011187522e-06,-0.010704761457078027
,,,,,,,,,,
241.035375,1.0,10.0,7.0,10.0,0.0,1.0,1.0,242.042655,-3.580000008662765e-06,-0.014852591693907026
241.050632,1.0,14.0,4.0,10.0,0.0,1.0,1.0,242.05791,-1.57999998529057e-06,-0.0065546394638391564
241.071754,1.0,11.0,6.0,14.0,0.0,1.0,1.0,242.07904000000002,-9.58000002193593e-06,-0.0397392057052687
241.087014,1.0,15.0,3.0,14.0,0.0,1.0,1.0,242.094295,-4.579999977716298e-06,-0.018997290238603633
241.108145,1.0,12.0,5.0,18.0,0.0,1.0,1.0,242.11542500000002,-3.580000008662765e-06,-0.014848108962319645
241.123406,1.0,16.0,2.0,18.0,0.0,1.0,1.0,242.13068,2.4199999761886914e-06,0.010036354480612684
